AoA,AoS,V,V_solid_blockage_corr,dE,dR,CL,CL_solid_blockage_corr,CD,CD_solid_blockage_corr,CYaw,CYaw_solid_blockage_corr,CMroll,CMroll_solid_blockage_corr,CMpitch,CMpitch_solid_blockage_corr,CMyaw,CMyaw_solid_blockage_corr,solid_blockage_e,V_round,AoA_round,AoS_round,ewb_t_fit,q_ratio_wake,V_wake_corr,CL_solid_blockage_corr_wake_corr,CD_solid_blockage_corr_wake_corr,CMroll_solid_blockage_corr_wake_corr,CMpitch_solid_blockage_corr_wake_corr,CMyaw_solid_blockage_corr_wake_corr
-5.003,0.0,39.99022680162341,39.70319501486156,0.0,0.0,-0.3796880623616357,-0.3742571639696702,-0.0376341038408047,-0.0370958014439349,0.0149493537927588,0.0147355245220437,-0.0065712325562685,-0.0064772404088696,0.1790580983895318,0.1764969266409033,-0.0053163068570774,-0.0052402646392059,0.007229438,39.5,-5.0,0.0,0.0010667588620436252,1.0021335177240873,39.745526183450615,-0.3734603796304842,-0.037016825390874024,-0.006463450522620827,0.17612116900524363,-0.005229108244085972
-5.0,0.0,39.97859556381135,39.69164726082138,0.0,0.0,-0.3710919753115519,-0.3657840317342495,0.0567938744929595,0.055981518793023,0.0012752362868127,0.0012569958431802,1.6103321756399903e-05,1.587298661315582e-05,0.1663104518429098,0.1639316170703262,-0.0009080145566218,-0.0008950266982078,0.007229438,39.5,-5.0,0.0,0.0018436478449095186,1.003687295689819,39.76475734813894,-0.3644402328345221,0.05577585671695461,1.5814673236694262e-05,0.16332937337585654,-0.0008917385943324726
2.496,0.0,20.006496532749907,19.862898936389016,0.0,0.0,0.5048180533173107,0.4975973481496436,-0.0256554357190671,-0.0252884711541945,0.0085216907170516,0.0083998000362537,-0.010819899020287,-0.0106651357342752,-0.1007873025209408,-0.0993456833249435,-0.0058236800489331,-0.0057403805782667,0.007229438,20.0,2.5,0.0,0.001227707932985501,1.002455415865971,19.88726982399139,0.4963785324255984,-0.02522652953333496,-0.010639012534100704,-0.09910234585258212,-0.005726320081085972
2.496,0.0,20.000326911601103,19.85677359799437,0.0,0.0,0.4936167699559028,0.4865562832354976,0.064061653242117,0.0631453422909238,0.0031613712534193,0.0031161523283105,-0.0055131088549692,-0.0054342516640716,-0.0859077462758578,-0.0846789579958023,-0.0044150040626027,-0.0043518537009216,0.007229438,20.0,2.5,0.0,0.001227707932985501,1.002455415865971,19.881136970080803,0.4853645115131489,0.06299067399059907,-0.005420940999532854,-0.08447154522343758,-0.004341194263649373
2.496,0.0,19.988931776445074,19.84546025197198,0.0,0.0,0.4913428097354856,0.4843148487859135,0.0800217207641083,0.0788771237180042,0.0031965161710154,0.0031507945477832,-0.0050640159653037,-0.0049915824102643,-0.083679985288831,-0.0824830619652002,-0.0042935159086616,-0.0042321032624509,0.007229438,20.0,2.5,0.0,0.003191006486864701,1.0063820129737295,19.908686527083017,0.4812435462303478,0.07837692119012783,-0.004959928084877844,-0.0819599922314523,-0.004205265205352368
2.496,0.0,20.00825165955574,19.864641465687324,0.0,0.0,0.4969423042755465,0.4898342505105609,0.0344121308940779,0.033919914243456,0.0042996951230488,0.0042381940919537,-0.007621262672887,-0.0075122513362189,-0.0936580698610366,-0.0923184242112915,-0.0047133918642211,-0.0046459734888924,0.007229438,20.0,2.5,0.0,0.001227707932985501,1.002455415865971,19.88901449129512,0.4886344497300337,0.03383683075237245,-0.0074938508160280045,-0.09209229931841131,-0.004634593634150777
2.507,0.0,39.99243808047264,39.70539042214991,0.0,0.0,0.5182820435461508,0.5108687551236181,-0.0440402087690589,-0.0434102761409482,0.0084315808645676,0.0083109790772101,-0.008581347759656,-0.0084586037696054,-0.1170543404314959,-0.1153800443652253,-0.0049053856460878,-0.0048352210724332,0.007229438,39.5,2.5,0.0,0.0010667588620436252,1.0021335177240873,39.747723931461316,0.509781128051515,-0.043317856725854115,-0.008440595609271167,-0.11513440307561126,-0.004824927005150284
2.503,0.0,39.99983251449172,39.71273178226124,0.0,0.0,0.5043561707372648,0.4971420721438093,0.0526683487914233,0.0519150028764116,0.0066661742298979,0.0065708240767207,-0.0049082710447519,-0.0048380651995681,-0.0958438498218493,-0.0944729396946262,-0.0039353085671926,-0.0038790195681745,0.007229438,39.5,2.5,0.0,0.0010667588620436252,1.0021335177240873,39.755073118860906,0.496083668843701,0.05180447710631819,-0.0048277650772081465,-0.09427180911898905,-0.0038707612304835536
2.503,0.0,39.994201580787575,39.707141264856055,0.0,0.0,0.5015022526471822,0.4943289752980656,0.0714125614479741,0.0703911061967301,0.0063956725639831,0.006304191552894,-0.003844669744013,-0.0037896772046096,-0.0906455119549076,-0.0893489566667249,-0.0036962006113609,-0.0036433317120023,0.007229438,39.5,2.5,0.0,0.002715693343363637,1.0054313866867273,39.814827660468325,0.49165858739208906,0.07001085019704342,-0.003769205193700989,-0.08886628948511659,-0.0036236502661891644
2.503,0.0,39.998947184542295,39.711852806810334,0.0,0.0,0.508945766589736,0.50166602034705,0.0187836461681773,0.0185149727915757,0.0075324088731598,0.0074246684638816,-0.0064312304976095,-0.0063392408807893,-0.1035067578932873,-0.1020262407511265,-0.0044172893993147,-0.0043541063491382,0.007229438,39.5,2.5,0.0,0.0010667588620436252,1.0021335177240873,39.75419320625475,0.5005979856719764,0.018475554867802894,-0.00632574479215718,-0.10180902938246687,-0.00434483656332209
