V_round,AoS_round,aoa_min_fit,aoa_max_fit,n_points,n_unique_aoa,cl_alpha_slope_per_deg,cl_at_aoa0,r2,fit_success
50,-8,-4.0,8.0,10,10,0.08809214588412706,0.3002908024736996,1.0,True
50,-7,-4.0,8.0,10,10,0.08840924432558986,0.2931830918501747,1.0,True
50,-6,-4.0,8.0,10,10,0.08845255445260239,0.2892110062288173,1.0,True
50,-5,-4.0,8.0,10,10,0.08967871033317308,0.28427159223499776,1.0,True
50,-4,-4.0,8.0,10,10,0.08964907519471733,0.2851449355492216,1.0,True
50,-3,-4.0,8.0,10,10,0.08962782020670246,0.2811430205172215,1.0,True
50,-2,-4.0,8.0,10,10,0.08948280304865003,0.2829686287430196,1.0,True
50,-1,-4.0,8.0,10,10,0.0895507574704746,0.28251814435974704,1.0,True
50,0,-4.0,8.0,10,10,0.09282591339427121,0.27429562433719373,0.9996182921313457,True
50,1,-4.0,8.0,10,10,0.0895360416374615,0.28055759865309865,1.0,True
50,2,-4.0,8.0,10,10,0.08971124218303815,0.28109087024561585,1.0,True
50,3,-4.0,8.0,10,10,0.08974906914943329,0.2809958939560578,1.0,True
50,4,-4.0,8.0,10,10,0.08973587612528744,0.2847048692880233,1.0,True
50,5,-4.0,8.0,10,10,0.08988502256346874,0.2810458937713104,1.0,True
50,6,-4.0,8.0,10,10,0.08883754789241961,0.28886656356392515,1.0,True
50,7,-4.0,8.0,10,10,0.08842721241093651,0.29759688865651285,1.0,True
50,8,-4.0,8.0,10,10,0.08892051058188796,0.3013981817850859,1.0,True
50,9,-4.0,8.0,10,10,0.0892555991640654,0.30566434271759346,1.0,True
50,10,-4.0,8.0,10,10,0.08935806279813518,0.3070199744275498,1.0,True
