AoA,AoA_corr,AoS,dR,dE,V,AoA_round,AoS_round,V_round,CL_uncorrected,CL,CD_uncorrected,CD,CYaw,CMroll_uncorrected,CMroll,CMpitch_uncorrected,CMpitch,CMyaw_uncorrected,CMyaw
10.0,11.913064540565514,-10.0,0,-10,19.989767086361024,10.0,-10.0,20.0,1.0881096827059995,1.0748904477391885,0.1491709649905043,0.13366085927870663,-0.09962118170760408,0.0260266557653426,0.01771453214620264,-0.2299519307387482,-0.1917406827871794,0.0308466156746355,0.023040647832556837
10.0,11.913064540565514,-10.0,0,-10,19.987742458535404,10.0,-10.0,20.0,1.095251984434916,1.0819090836537888,0.1493951356301107,0.13388114850224508,-0.09881514992032626,0.0257866952164211,0.01747872640868682,-0.2520990416414981,-0.21350432620164728,0.0308842870992881,0.02307766699305385
11.0,13.056029032899108,-10.0,0,-10,19.995850063630115,11.0,-10.0,20.0,1.097385912832881,1.0665856269980032,0.1711427914979689,0.15830429530675805,-0.09029265275940433,0.021401699294369,0.013042713400830044,-0.2944047556209347,-0.25714449198893313,0.0290795271443772,0.02145352977649991
12.0,14.1989935252327,-10.0,0,-10,19.989997393906343,12.0,-10.0,20.0,1.1414436710517255,1.095159359825103,0.186496282835147,0.17511207233873055,-0.08603372890593157,0.0178776171070232,0.009072833476811476,-0.3491708664248824,-0.30960909298657346,0.0279219083541281,0.0204601018046347
12.0,14.1989935252327,-10.0,0,-10,19.99085682948356,12.0,-10.0,20.0,1.1423164465993518,1.095298692123183,0.18915325036069,0.17760866632580172,-0.08473877599396043,0.0178671774168914,0.009056737865919599,-0.3702661648278053,-0.33002596101088444,0.0274568610999698,0.019992325624872114
13.0,15.341958017566292,-10.0,0,-10,19.99549844187665,13.0,-10.0,20.0,1.1854130786318724,1.1228239925440304,0.2039712550330672,0.19167038106208217,-0.0810845492599046,0.01408305206391,0.004860634869300572,-0.3977352907659078,-0.3498323416194506,0.0264519137503307,0.01926667421470651
14.0,16.48492250989989,-10.0,0,-10,19.996529414558143,14.0,-10.0,20.0,1.2177455523709826,1.1451324944824777,0.2244754832493878,0.21482277030690042,-0.07730461098200182,0.009317117810913,-0.0002747139432338096,-0.4388513169950366,-0.3953905480671571,0.0249373769540594,0.01761365874270473
0.003,0.4864196172295847,-10.0,10,-10,20.001386668089776,0.0,-10.0,20.0,0.1703038612226841,0.14936001077978586,0.0917267377703653,0.06362980067205566,-0.08175378479142235,0.0233850888342856,0.017053798000439543,0.1592976046478097,0.19497343790027533,0.014529414812427,0.006797367652176266
0.005,0.48841961722958466,-10.0,10,-10,20.01030332967711,0.0,-10.0,20.0,0.1690933440335016,0.14817221898767008,0.0917147729879342,0.06361792005071842,-0.0816008279326565,0.0233039147766316,0.01697413179485575,0.1594427273062015,0.19511534543451164,0.0146179431587629,0.006884193180754698
2.492,3.3328308480635673,-10.0,10,-10,19.994467992465037,2.5,-10.0,20.0,0.4449238107632338,0.4231882006025783,0.0934095926206037,0.06722851841832594,-0.082564514537452,0.0237467318250403,0.01737801543425039,0.0661902389182786,0.10395272466646838,0.0159193403931754,0.008324648509613338
