AoA,AoS,V,dE,dR,CL,CD,CYaw,CMroll,CMpitch,CMyaw
6.0,0.0,29.987456854432946,-5,0,0.8165884370407613,0.07538746841307556,0.007541797934435142,-0.003119546106480075,-0.07902522150512706,-0.002438838824226418
7.0,0.0,29.99939430929231,-5,0,0.9058514452629315,0.08248334106068742,0.007858349505885058,-0.0031669626511441618,-0.1294296434261271,-0.0025014072250980953
8.0,0.0,29.99828558721259,-5,0,0.9802786441622052,0.09154689771834998,0.008194344344495084,-0.003273838431995811,-0.17765421387402697,-0.0027761633766732433
9.0,0.0,29.994516194745433,-5,0,1.0233927286347564,0.10556405111631348,0.0050702999924453485,-0.00276091266228194,-0.22683413670831182,-0.003337767583384207
10.0,0.0,29.994516194745433,-5,0,1.0675354339912742,0.11871940785297212,0.00426547698679423,-0.002100826511459144,-0.2719806380494554,-0.003043959747790971
11.0,0.0,29.98963720654122,-5,0,1.1162917887171342,0.1342806165895214,0.004313585885845484,-0.0018539179439188377,-0.3228181620674858,-0.0029405912776309384
12.0,0.0,29.980210094407028,-5,0,1.170005716529402,0.15078950399924954,0.003983612254095058,-0.0015671474278467694,-0.3717433472262279,-0.002674273497423053
13.0,0.0,29.982243306081074,-5,0,1.2286346443994494,0.1700614535434618,0.0008169138934710642,-3.665360204798253e-05,-0.4114283563680381,-0.002035517570951267
14.0,0.0,29.979729061058077,-5,0,1.2810012719808261,0.19135659827749057,0.005464167614919693,-0.0017614675002569308,-0.44446258767580715,-0.0029678428180833997
0.005,0.0,30.025101634277757,-5,0,0.18381272424501044,0.05773979410721514,0.004497217048717272,-0.0031666247817035893,0.12380324235863432,-0.002505882912697931
0.001,0.0,39.99860602229174,-5,0,0.18993470038152524,0.05445380272516833,0.011537932541415595,-0.0055810928419413935,0.12347782752644411,-0.0029496697011457784
-2.501,0.0,40.00063153846843,-5,0,-0.09885702314094974,0.05680341312261467,0.010964677594712815,-0.005981390070556301,0.2166305438933892,-0.002514484494172477
-5.001,0.0,39.98320446489338,-5,0,-0.38999046452178615,0.0655175744670642,0.008973698958722614,-0.006112047220990452,0.3151028196422555,-0.001861674500494096
-0.006,0.0,39.99955157791664,-5,0,0.18746408225970515,0.05426076216801628,0.010575681972670987,-0.00519783001000672,0.12360489602600684,-0.002775161254732744
2.5,0.0,39.9901930537542,-5,0,0.4635779905712284,0.05845968118048981,0.008167268842191981,-0.0039179785265314356,0.04197114918075114,-0.0026953026435882935
5.0,0.0,39.99445005312331,-5,0,0.7218436811990181,0.0677796390239905,0.005834279080163629,-0.0027122245137843524,-0.039415908031009285,-0.002387078421103399
6.0,0.0,39.98893964087773,-5,0,0.818320021817805,0.0733743874839236,0.005606960117383712,-0.0023687681288257737,-0.07973665996369507,-0.002373870123431005
7.0,0.0,39.99156722020152,-5,0,0.9070993367956235,0.08039622854366424,0.005298411018420817,-0.0022679169535607816,-0.12908690250632074,-0.0023145953364538023
8.0,0.0,39.98893964087773,-5,0,0.9776338376369099,0.08980237252799071,0.007957388586007483,-0.003364989751033005,-0.17972242737695213,-0.002774015793466312
9.0,0.0,39.98650846817209,-5,0,1.0190574024430694,0.10322875382127722,0.010215571853273396,-0.004909075510236987,-0.2359816024640557,-0.0042559562498184905
10.0,0.0,39.98578296952812,-5,0,1.063622619716538,0.11557167058722481,0.007285106631181621,-0.0036665593226312652,-0.27800384811067147,-0.0036718973400305856
11.0,0.0,39.98477841791296,-5,0,1.1089469462157553,0.13053187030317828,0.006838425573217804,-0.0032480699472361135,-0.32706122193091436,-0.0034219207109730683
12.0,0.0,39.98928578936236,-5,0,1.1594026153243429,0.14780796480170177,0.006218944929614153,-0.0027624050540561813,-0.3768659447148389,-0.0030969601009178567
13.0,0.0,39.99088577608642,-5,0,1.2229918930095651,0.1687293266591881,0.0049286148137622065,-0.0019414080701558797,-0.4088512132698321,-0.002813797357312041
