V_round,AoS_round,dE,dR,CD0_fit,k_fit,R2_fit,fit_used
39.5,-10.0,10,0,0.07021812370709202,0.060517407757641785,0.8224253607689013,
39.5,-10.0,10,10,0.05859023326661254,0.057458115626700244,0.9005192506607007,
39.5,-10.0,10,20,0.058616763136836114,0.05771203980679161,0.9047734460428882,
39.5,-10.0,15,0,0.07627658184636668,0.06230435660624117,0.8417135556481263,
39.5,-10.0,20,0,0.0802644433552486,0.06248478116225419,0.8527785555503146,
39.5,-8.0,-10,-20,0.07498029504481533,0.05488898982964218,0.8590383148525136,
39.5,-8.0,-10,-10,0.060757735217544934,0.06108181247037379,0.8438060448277633,
39.5,-8.0,-10,0,0.05565330517930468,0.06067506110241434,0.8552557662334608,
39.5,-8.0,-10,10,0.0567041867195176,0.05829274196032495,0.8481714903362205,
39.5,-8.0,-10,20,0.056511540126621386,0.06115173709236039,0.8489016579480172,
39.5,-8.0,0,-20,0.06530027446672883,0.05771792501364664,0.8775558492274282,
39.5,-8.0,0,-10,0.0597010825692548,0.0592604278688266,0.8666754757956087,
39.5,-8.0,0,0,0.054355843905473336,0.05981518094183193,0.8689426234917821,
39.5,-8.0,0,10,0.05229253336821158,0.06030129365882961,0.8718371436975225,
39.5,-8.0,0,20,0.055044579598468577,0.05970042132211396,0.8722214520452197,
39.5,-8.0,10,-20,0.0669700679787462,0.05898765710253153,0.8892053784654854,
39.5,-8.0,10,-10,0.05859751092537308,0.06043386244829847,0.8800196317425375,
39.5,-8.0,10,0,0.05467867906154775,0.06092762619814693,0.8829063938673267,
39.5,-8.0,10,10,0.0516624742797538,0.0610263228300404,0.8873677776931947,
39.5,-8.0,10,20,0.05259423566413777,0.06102443657764874,0.88591503115671,
39.5,-5.0,-20,0,0.06498794928870666,0.06720028474551017,0.8428224507504503,
39.5,-5.0,-15,0,0.05790506452777785,0.06874424500891473,0.8598153006057057,
39.5,-5.0,-10,0,0.05365166205614369,0.06944589909582162,0.8754529569638907,
39.5,-5.0,-5,0,0.05065837836166286,0.06990344613771304,0.879576807271869,
39.5,-5.0,0,0,0.04871938064756776,0.07057040341996447,0.8842306865839547,
39.5,-5.0,5,0,0.046423063959767225,0.07114168894860955,0.8907120217233797,
39.5,-5.0,10,0,0.048232215830594755,0.07031488491276147,0.8983825316607674,
39.5,-5.0,15,0,0.04969848464347484,0.07093086474821686,0.9009759151749968,
39.5,-5.0,20,0,0.05351830332394568,0.0711782425140067,0.8936595604156933,
39.5,-4.0,-10,-20,0.06391649029339865,0.05754705825092336,0.8510722254381968,
39.5,-4.0,-10,-10,0.055691997420065205,0.05858483670501933,0.8495956903966972,
39.5,-4.0,-10,0,0.05171231199830333,0.05956350497107167,0.8563930581947533,
39.5,-4.0,-10,10,0.05150740715414163,0.05971361831602433,0.8592510115911782,
39.5,-4.0,-10,20,0.05338267509032867,0.06258149018077819,0.8542949924292376,
39.5,-4.0,0,-20,0.05380396760186855,0.06065090394663637,0.8782859551824942,
39.5,-4.0,0,-10,0.050701061734222924,0.06100062059546836,0.8762066910079717,
39.5,-4.0,0,0,0.04714402925970199,0.0615420317563179,0.880999505151744,
39.5,-4.0,0,10,0.04785458661580697,0.061346822628500865,0.8801546401173559,
