V_round,AoS_round,dE,dR,CD0_fit,k_fit,R2_fit,fit_used
30.0,-10.0,-10,-20,0.08870986228295503,0.05067677273097627,0.860367273501527,
30.0,-10.0,-10,-10,0.07654782702617924,0.05093070893971823,0.8516980205269488,
30.0,-10.0,-10,0,0.0827455439678919,0.058344571099540186,0.7478626893990756,
30.0,-10.0,-10,10,0.06572466953614645,0.05360441333244144,0.8484960015163664,
30.0,-10.0,-10,20,0.06940268184830833,0.05041776815042153,0.8516642468727418,
30.0,-10.0,0,-20,0.08127071345880693,0.05236454119521832,0.8948851891268089,
30.0,-10.0,0,-10,0.08437545231129157,0.05323184090068461,0.8676177165318043,
30.0,-10.0,0,0,0.07272331602698462,0.06101061354081548,0.7619542688782349,
30.0,-10.0,0,10,0.07405295808269952,0.05245668673697828,0.8708273475835568,
30.0,-10.0,0,20,0.06425514829532143,0.054141906853890615,0.8865909397884515,
30.0,-10.0,10,-20,0.08028889756172966,0.056382318448009054,0.902170389916709,
30.0,-10.0,10,-10,0.0826362221423129,0.0565568413292934,0.8813107978223976,
30.0,-10.0,10,0,0.07330536107904814,0.06230580888797825,0.7872079006613539,
30.0,-10.0,10,10,0.06438458895458501,0.05631113912240171,0.8516009987613012,
30.0,-10.0,10,20,0.061879036877868276,0.05838137588143552,0.8946827716138496,
30.0,-10.0,20,0,0.08309006116144443,0.0643175116889131,0.8122583644987176,
30.0,-8.0,-10,-20,0.07780938742940569,0.05509412986971968,0.861449468034307,
30.0,-8.0,-10,-10,0.06695355854901178,0.05611803075636044,0.861015099694139,
30.0,-8.0,-10,0,0.07195682378448345,0.05499819136537239,0.8530804622302646,
30.0,-8.0,-10,10,0.05913156905611876,0.05747664438821867,0.8627389747420697,
30.0,-8.0,-10,20,0.06339662343099618,0.055085658639244924,0.836925314756312,
30.0,-8.0,0,-20,0.07024303438613368,0.05725914732078487,0.875274572980965,
30.0,-8.0,0,-10,0.07289050847884972,0.056098791178017436,0.8725894329586505,
30.0,-8.0,0,0,0.05651935269059336,0.059296919663470046,0.8732432100493347,
30.0,-8.0,0,10,0.0643166392922477,0.057660743166835934,0.8757878753000818,
30.0,-8.0,0,20,0.05855789197856534,0.05820114860485701,0.8811490637365371,
30.0,-8.0,10,-20,0.06986666653687282,0.05871175863620718,0.8937327105321705,
30.0,-8.0,10,-10,0.07157493787830373,0.05821604065717905,0.8836529649265715,
30.0,-8.0,10,0,0.06645527525441942,0.059578024889165464,0.8798949436215171,
30.0,-8.0,10,10,0.06394139161857862,0.059439489545355065,0.8874286430416204,
30.0,-8.0,10,20,0.056338355459074466,0.06010862512711243,0.8935198643184371,
