AoA,AoS,V,dE,dR,CL,CD,CYaw,CMroll,CMpitch,CMyaw,V_round,AoA_round,AoS_round,CL2,fit_used,CD0_fit,k_fit,R2_fit,CDi,CDs
2.492,-10.0,19.991919209860885,-10,-20,0.4414440521235256,0.1197036273430976,-0.1906004054602062,0.0455926674838313,0.0910509530351301,0.0636243290903521,20.0,2.5,-10.0,0.194872851155238,True,0.10826379390662423,0.054836131971444754,0.7970929972823606,0.010686073383600342,0.0007537600528730263
5.0,-10.0,19.983005958181973,-10,-20,0.7034693197868341,0.1270710353445505,-0.1880326551602781,0.0453348160524338,0.0089536082825216,0.0648537017859119,20.0,5.0,-10.0,0.4948690838813511,True,0.10826379390662423,0.054836131971444754,0.7970929972823606,0.027136706392305733,0.0
7.0,-10.0,19.98800850464144,-10,-20,0.8864849720778255,0.1351314709046347,-0.1787583091972506,0.0435113315701976,-0.0405565754159009,0.0626353490349165,20.0,7.0,-10.0,0.785855605719823,True,0.10826379390662423,0.054836131971444754,0.7970929972823606,0.04309328170575187,0.0
8.0,-10.0,19.99438648402602,-10,-20,0.9723047159766104,0.1424636218167897,-0.1773883774203038,0.0441454419548462,-0.0820036336569878,0.0632092262228913,20.0,8.0,-10.0,0.945376460710357,True,0.10826379390662423,0.054836131971444754,0.7970929972823606,0.05184078836221049,0.0
10.0,-10.0,19.989449226446386,-10,-20,1.0623367441318137,0.1719420667984921,-0.158671856381952,0.037902874450049,-0.2351762744340242,0.0591517555588083,20.0,10.0,-10.0,1.1285593579325826,True,0.10826379390662423,0.054836131971444754,0.7970929972823606,0.06188582988920006,0.001792443002667822
12.0,-10.0,19.98816824027108,-10,-20,1.1398488885037408,0.2033234575359956,-0.143251022187727,0.0301858205765081,-0.3456363565790358,0.0544972761099655,20.0,12.0,-10.0,1.2992554886232133,True,0.10826379390662423,0.054836131971444754,0.7970929972823606,0.07124614543876646,0.0238135181906049
0.003,-10.0,20.00138968204786,-10,-10,0.1781339881069804,0.1038558929162493,-0.1642361919588324,0.0381452942737783,0.1444891065809983,0.049534376546938,20.0,0.0,-10.0,0.03173171771889783,True,0.09372407027775594,0.05547236965612563,0.7734113667846763,0.0017602335751265318,0.008371589063366837
0.006,-10.0,20.025133442666338,-10,-10,0.178225765358767,0.103693591840998,-0.1638811934714438,0.0379423804335935,0.1470198377882524,0.0494738996897256,20.0,0.0,-10.0,0.03176442343771827,True,0.09372407027775594,0.05547236965612563,0.7734113667846763,0.0017620478388508088,0.00820747372439125
2.492,-10.0,19.99081337555951,-10,-10,0.4525324095849286,0.105803852712978,-0.1632699956172495,0.0383506213251544,0.052932237629061,0.0511520797687599,20.0,2.5,-10.0,0.20478558172474157,True,0.09372407027775594,0.05547236965612563,0.7734113667846763,0.011359941489679589,0.0007198409455424753
5.0,-10.0,19.98400657877036,-10,-10,0.7144072230699623,0.1133710376881527,-0.1585222682625443,0.0378393067486112,-0.0259620852636789,0.0510665142710972,20.0,5.0,-10.0,0.5103776803745349,True,0.09372407027775594,0.05547236965612563,0.7734113667846763,0.028311859349972133,0.0
7.0,-10.0,19.986356848712973,-10,-10,0.8956973238856957,0.121707089095757,-0.1471589195079465,0.0359854563392001,-0.0714233993311512,0.0478084976107899,20.0,7.0,-10.0,0.8022736960159969,True,0.09372407027775594,0.05547236965612563,0.7734113667846763,0.04450402303078554,0.0
8.0,-10.0,19.995343532488548,-10,-10,0.9826072339226818,0.1287360159911116,-0.1452565238381636,0.0358576543511634,-0.1130675538827726,0.0479335422192496,20.0,8.0,-10.0,0.9655169761571839,True,0.09372407027775594,0.05547236965612563,0.7734113667846763,0.05355951461065594,0.0
10.0,-10.0,19.98875823043545,-10,-10,1.0871474849952452,0.1572937331998419,-0.1301533237879188,0.0309563721390582,-0.2527331792472261,0.0452254746811498,20.0,10.0,-10.0,1.1818896541314867,True,0.09372407027775594,0.05547236965612563,0.7734113667846763,0.0655622197867323,0.0
12.0,-10.0,19.98917853748232,-10,-10,1.1449582669788174,0.1948715505660636,-0.1159157574352617,0.0232946486897808,-0.3672323488223802,0.0413274015404147,20.0,12.0,-10.0,1.310929433123137,True,0.09372407027775594,0.05547236965612563,0.7734113667846763,0.07272036210730187,0.02842711818100578
-5.002,-10.0,19.99146684709908,-10,0,-0.376868004647219,0.1146270422520028,-0.1388080204994544,0.0342485320890803,0.3605115913936612,0.0330129750166244,20.0,-5.0,-10.0,0.14202949292677627,True,0.08577693215798517,0.06369868282927608,0.7539820600630225,0.009047091622345634,0.019803018471672006
-2.5,-10.0,19.99903106076334,-10,0,-0.1054964968589119,0.1008477471357408,-0.1331870104991223,0.0328384376996293,0.2674012312266752,0.0331887820992346,20.0,-2.5,-10.0,0.011129510849502408,True,0.08577693215798517,0.06369868282927608,0.7539820600630225,0.000708935181647441,0.014361879796108187
0.002,-10.0,20.001732209997687,-10,0,0.174550108658016,0.0962016487297825,-0.1309049176041609,0.0324060374449489,0.1696204579324044,0.0341979930259617,20.0,0.0,-10.0,0.030467740432525196,True,0.08577693215798517,0.06369868282927608,0.7539820600630225,0.0019407549343361335,0.008483961637461198
0.002,-10.0,20.0032148697331,-10,0,0.1783730761978071,0.0959363092515213,-0.128854386543338,0.031823015138503,0.142874105889426,0.0339997197012027,20.0,0.0,-10.0,0.0318169543122687,True,0.08577693215798517,0.06369868282927608,0.7539820600630225,0.002026698081330772,0.008132679012205362
0.005,-10.0,20.0071165668156,-10,0,0.174608003819691,0.0962490564649138,-0.1307415749678744,0.0321536356759999,0.1710303874717555,0.0342821898482312,20.0,0.0,-10.0,0.030487954997897224,True,0.08577693215798517,0.06369868282927608,0.7539820600630225,0.0019420425755242979,0.008530081731404337
0.006,-10.0,20.032548490475424,-10,0,0.1775881712869542,0.0958866556764409,-0.1283871498975311,0.031640548056884,0.1431951971388566,0.0339672604294221,20.0,0.0,-10.0,0.03153755858104458,True,0.08577693215798517,0.06369868282927608,0.7539820600630225,0.002008900941263673,0.008100822577192066
-0.005,-10.0,20.000897197266838,-10,0,0.1741373246175327,0.0956629869224174,-0.1301513948901958,0.0324517940698204,0.1669982315392535,0.0339734253102119,20.0,-0.0,-10.0,0.030323807824951962,True,0.08577693215798517,0.06369868282927608,0.7539820600630225,0.0019315866168175353,0.007954468147614696
2.5,-10.0,19.9944629196324,-10,0,0.4510714100001566,0.0973643863346052,-0.129424545637705,0.0320401432499381,0.0754176076132663,0.0354582104846913,20.0,2.5,-10.0,0.20346541691952938,True,0.08577693215798517,0.06369868282927608,0.7539820600630225,0.012960479059083527,0.0
2.492,-10.0,19.991412441889405,-10,0,0.4529859671656726,0.0978172384503311,-0.1282343474191692,0.0318842402741087,0.0507585857451545,0.0353612329624616,20.0,2.5,-10.0,0.2051962864490198,True,0.08577693215798517,0.06369868282927608,0.7539820600630225,0.013070733168261394,0.0
5.0,-10.0,19.988960080137517,-10,0,0.7111305340230035,0.1045671768910607,-0.1255342006800782,0.0318194716111341,-0.006475082454047,0.0354275972371158,20.0,5.0,-10.0,0.5057066364198421,True,0.08577693215798517,0.06369868282927608,0.7539820600630225,0.032212846637967564,0.0
5.0,-10.0,19.985986503308403,-10,0,0.7140215581482854,0.1053733172047877,-0.123770600878706,0.0314762291850179,-0.0286859193239835,0.0350682090961495,20.0,5.0,-10.0,0.5098267855005053,True,0.08577693215798517,0.06369868282927608,0.7539820600630225,0.03247529470746606,0.0
6.0,-10.0,19.9943649639798,-10,0,0.7969830545946672,0.1089021637043181,-0.1159643626035138,0.0303075798212439,-0.0086328044124452,0.0317125271903324,20.0,6.0,-10.0,0.6351819893110463,True,0.08577693215798517,0.06369868282927608,0.7539820600630225,0.04046025607599297,0.0
7.0,-10.0,19.99263062785508,-10,0,0.8915120225594575,0.1132842835164469,-0.1145535763331952,0.029714101783939,-0.0490399134889994,0.0321959208787639,20.0,7.0,-10.0,0.7947936863680547,True,0.08577693215798517,0.06369868282927608,0.7539820600630225,0.05062731094266985,0.0
7.0,-10.0,19.986698410968938,-10,0,0.8933356428568417,0.1141686810836953,-0.1127013180212816,0.0295988264382228,-0.068864000773037,0.0317065979834062,20.0,7.0,-10.0,0.7980485707984467,True,0.08577693215798517,0.06369868282927608,0.7539820600630225,0.050834642793647335,0.0
8.0,-10.0,19.991697273122423,-10,0,0.978707455794903,0.120502653811114,-0.1141846198496409,0.0301121908155916,-0.096702075364441,0.0329241879783422,20.0,8.0,-10.0,0.9578682840285321,True,0.08577693215798517,0.06369868282927608,0.7539820600630225,0.0610149480165564,0.0
8.0,-10.0,19.9916829577224,-10,0,0.9817347827340018,0.1214823695237132,-0.1120399488576306,0.0299136591215505,-0.1177036459017833,0.0323185813349012,20.0,8.0,-10.0,0.9638031836297778,True,0.08577693215798517,0.06369868282927608,0.7539820600630225,0.061392993303879755,0.0
9.0,-10.0,19.99404769467245,-10,0,1.0534563918134972,0.1299339188787009,-0.1105666106204185,0.0294127058822499,-0.1508168837744409,0.0326812687354493,20.0,9.0,-10.0,1.1097703694527123,True,0.08577693215798517,0.06369868282927608,0.7539820600630225,0.07069091077709687,0.0
10.0,-10.0,19.989767086361024,-10,0,1.0881096827059995,0.1491709649905043,-0.1013764707279942,0.0260266557653426,-0.2299519307387482,0.0308466156746355,20.0,10.0,-10.0,1.183982681598551,True,0.08577693215798517,0.06369868282927608,0.7539820600630225,0.07541813731050187,0.0
10.0,-10.0,19.987742458535404,-10,0,1.095251984434916,0.1493951356301107,-0.1005562369535281,0.0257866952164211,-0.2520990416414981,0.0308842870992881,20.0,10.0,-10.0,1.1995769094086215,True,0.08577693215798517,0.06369868282927608,0.7539820600630225,0.07641146908174302,0.0
11.0,-10.0,19.995850063630115,-10,0,1.097385912832881,0.1711427914979689,-0.09208557135205,0.021401699294369,-0.2944047556209347,0.0290795271443772,20.0,11.0,-10.0,1.2042558416840552,True,0.08577693215798517,0.06369868282927608,0.7539820600630225,0.07670951090473555,0.008656348435248193
12.0,-10.0,19.989997393906343,-10,0,1.1414436710517255,0.186496282835147,-0.0879756028939241,0.0178776171070232,-0.3491708664248824,0.0279219083541281,20.0,12.0,-10.0,1.3028936541840397,True,0.08577693215798517,0.06369868282927608,0.7539820600630225,0.08299260963814566,0.01772674103901617
12.0,-10.0,19.99085682948356,-10,0,1.1423164465993518,0.18915325036069,-0.0867077399006196,0.0178671774168914,-0.3702661648278053,0.0274568610999698,20.0,12.0,-10.0,1.3048868641713698,True,0.08577693215798517,0.06369868282927608,0.7539820600630225,0.08311957448894075,0.020256743713764083
13.0,-10.0,19.99549844187665,-10,0,1.1854130786318724,0.2039712550330672,-0.0831266987554901,0.01408305206391,-0.3977352907659078,0.0264519137503307,20.0,13.0,-10.0,1.4052041669914936,True,0.08577693215798517,0.06369868282927608,0.7539820600630225,0.08950965454356825,0.028684668331513785
14.0,-10.0,19.996529414558143,-10,0,1.2177455523709826,0.2244754832493878,-0.0796031585571745,0.009317117810913,-0.4388513169950366,0.0249373769540594,20.0,14.0,-10.0,1.4829042303193094,True,0.08577693215798517,0.06369868282927608,0.7539820600630225,0.09445904623330147,0.044239504858101145
0.003,-10.0,20.001386668089776,-10,10,0.1703038612226841,0.0917267377703653,-0.0833419518104596,0.0233850888342856,0.1592976046478097,0.014529414812427,20.0,0.0,-10.0,0.029003405147355242,True,0.0816272186722635,0.05678209310635338,0.7773644873311931,0.0016468740514784144,0.00845264504662339
0.005,-10.0,20.01030332967711,-10,10,0.1690933440335016,0.0917147729879342,-0.0831862147245256,0.0233039147766316,0.1594427273062015,0.0146179431587629,20.0,0.0,-10.0,0.028592558996432132,True,0.0816272186722635,0.05678209310635338,0.7773644873311931,0.0016235453470843113,0.008464008968586399
2.492,-10.0,19.994467992465037,-10,10,0.4449238107632338,0.0934095926206037,-0.0839995799471225,0.0237467318250403,0.0661902389182786,0.0159193403931754,20.0,2.5,-10.0,0.19795719738407785,True,0.0816272186722635,0.05678209310635338,0.7773644873311931,0.011240424012935483,0.0005419499354047275
5.0,-10.0,19.989121746226097,-10,10,0.7069890135822018,0.1012752635892863,-0.0825914994259998,0.023844868826052,-0.0163552355412834,0.016555220429645,20.0,5.0,-10.0,0.4998334653259347,True,0.0816272186722635,0.05678209310635338,0.7773644873311931,0.02838159036580848,0.0
7.0,-10.0,19.98371536955056,-10,10,0.8900664233755493,0.1104564943856728,-0.0754356563896437,0.0226814344605361,-0.0709936025163904,0.0147721516316989,20.0,7.0,-10.0,0.7922182380205426,True,0.0816272186722635,0.05678209310635338,0.7773644873311931,0.04498380975183368,0.0
8.0,-10.0,19.995177862451246,-10,10,0.977713241377946,0.1173905681079064,-0.0746054141558159,0.0230796051949356,-0.1134655259833551,0.0152204472636465,20.0,8.0,-10.0,0.9559231823657698,True,0.0816272186722635,0.05678209310635338,0.7773644873311931,0.054279319143614765,0.0
