run,hr,min,sec,AoA,AoS,dPb,pBar,temp,B1,B2,B3,B4,B5,B6,rpmWT,rho,q,V,Re,rpsM1,rpsM2,iM1,iM2,dPtQ,tM1,tM2,vM1,vM2,pInf,nu,J_M1,J_M2,FX,FY,FZ,MX,MY,MZ,CFX,CFY,CFZ,CMX,CMY,CMZ,CN,CT,CY,CL,CD,CYaw,CMroll,CMpitch,CMpitch25c,CMyaw,b,c,S
21,8,6,9,2.496,0,104.48,101192,289.45,-113.3,-50.8,254.6,245.6,-130.7,25.6,0,1.21790965808004,243.740201116511,20.0064965327499,223880.239995361,61.52,61.52,1.82,1.43,0,21.349,21.333,38.423,39.307,101192,1.47429916430176e-05,1.60040910234284,1.60040910234284,-0.931908261824962,-0.451078525442953,27.3993181828241,-0.661531490713926,-0.98364319976536,-0.146778623580232,-0.0176054357190672,-0.00852169071705165,0.517622769079585,-0.00894860447917959,-0.112636946836741,-0.00198548952975826,0.516364971510827,-0.0401310183411549,0.00852169071705165,0.517622769079585,-0.0176054357190672,0.00852169071705165,-0.0112532323536204,-0.107674802520941,-0.107674802520941,-0.00247368004893319,1.39658967036375,0.164979635584137,0.217169693741564
22,8,6,43,2.496,0,104.43,101192,289.41,402.7,-22.7,167,158,281.8,12.1,0,1.21807798808357,243.62356175831,20.0003269116011,223866.143981395,41.01,41.01,0.2,0.11,0,21.186,21.102,34.335,33.595,101192,1.47393732109567e-05,2.40006841422405,2.40006841422405,3.81525842039512,-0.167260737374953,26.7935728940799,-0.376560894391838,-0.632571006431436,-0.0596149826675443,0.072111653242117,-0.00316137125341939,0.506421485718177,-0.00509621667014859,-0.0724703627598655,-0.000806804086631528,0.509081462180382,0.0499887646836889,0.00316137125341939,0.506421485718177,0.072111653242117,0.00316137125341939,-0.00594644218830266,-0.0927952462758578,-0.0927952462758578,-0.00106500406260277,1.39658967036375,0.164979635584137,0.217169693741564
23,8,7,7,2.496,0,104.31,101191,289.41,493.9,-21.9,150,143.4,354.5,10.9,0,1.21806595078825,243.343628242624,19.9889317764451,223736.385787367,35.15,35.15,-0.16,-0.09,0,21.031,20.886,26.85,26.17,101191,1.47395188698909e-05,2.79859821468805,2.79859821468805,4.65431400457561,-0.16892584647526,26.6426143140899,-0.341891921988668,-0.573201139269083,-0.0520163324197568,0.0880717207641084,-0.00319651617101549,0.50414752549776,-0.00463234414236468,-0.0657442093673462,-0.00070477696984002,0.507504714550589,0.0660327204709162,0.00319651617101549,0.50414752549776,0.0880717207641084,0.00319651617101549,-0.00549734929863717,-0.090567485288831,-0.090567485288831,-0.00094351590866166,1.39658967036375,0.164979635584137,0.217169693741564
24,8,7,32,2.496,0,104.52,101192,289.39,232.4,-28.3,198.6,185,143.7,14.5,0,1.21816217053549,243.833512769659,20.0082516595557,223982.337972026,49.21,49.21,0.56,0.54,0,20.844,20.649,44.904,43.815,101192,1.47375641193704e-05,2.00093081510261,2.00093081510261,2.24850780270859,-0.227682827730903,26.9927610279762,-0.509878987220168,-0.77383137595471,-0.0749581612321228,0.042462130894078,-0.00429969512304885,0.50974702003782,-0.00689454601900789,-0.0885774922277964,-0.00101357872175251,0.511112615406766,0.0202225460701507,0.00429969512304885,0.50974702003782,0.042462130894078,0.00429969512304885,-0.00805459600622041,-0.100545569861037,-0.100545569861037,-0.00136339186422117,1.39658967036375,0.164979635584137,0.217169693741564
25,8,8,10,2.496,-4,104.33,101191,289.37,249.6,428.2,323.7,74.6,129.6,-246.9,0,1.21823432566482,243.390283736023,19.9894663539776,223797.305244268,49.21,49.21,0.56,0.58,0,20.549,20.332,44.893,43.941,101191,1.47359007339301e-05,1.99905218535314,1.99905218535314,2.32990646140856,3.71211748520386,27.6127755193695,-0.164875928919591,-1.07039219201054,1.56057083557839,0.0440794360874635,0.0702294483269844,0.522405338524914,-0.00223350008835742,-0.122746788043626,0.0211403515479341,0.523829357555713,0.0212870516485512,-0.0702294483269844,0.522405338524914,0.0488710194648649,-0.0669835468944886,0.0166235630433449,-0.135170707946285,-0.135170707946285,0.0218442451378315,1.39658967036375,0.164979635584137,0.217169693741564
26,8,9,3,2.496,-8,104.24,101190,289.33,328.7,671,453.6,-22.7,105.8,-350.6,0,1.21839070647354,243.180334307256,19.9795606825574,223739.123256501,49.21,49.21,0.6,0.58,0,20.185,19.959,44.909,44.134,101190,1.47324285201592e-05,1.99806156590642,1.99806156590642,2.7008721050823,6.30453806854496,29.0620096287448,-1.01648270359406,-1.71757060527808,2.19964514199461,0.0511418400243831,0.119378358094944,0.550298047961462,-0.0137817223898719,-0.197131755261602,0.0298233296011954,0.552003169337351,0.0271280377615882,-0.119378358094944,0.550298047961462,0.0672583874364307,-0.111099007655223,0.0185477798732502,-0.211546234677281,-0.211546234677281,0.0306027842915635,1.39658967036375,0.164979635584137,0.217169693741564
27,8,9,49,2.496,4,104.72,101191,289.31,212.9,-661.1,31.8,358,134,373.5,0,1.21848697527783,244.300073256565,20.0247153255829,224274.534745982,49.21,49.21,0.54,0.59,0,19.909,19.666,45.047,43.803,101191,1.4730474152282e-05,2.00257726863807,2.00257726863807,2.12022567988843,-6.0173717081957,27.1183678081004,-1.16185981038359,-0.774637698122,-2.42949364303306,0.0399631096125883,-0.113418532487054,0.511141014614365,-0.015680578745082,-0.0885004486295673,-0.0327886945049582,0.512396455972467,0.0176651877365114,0.113418532487054,0.511141014614365,0.0477774383696414,0.110354565035887,-0.0461747876400804,-0.0997641696967511,-0.0997641696967511,-0.0347684821052636,1.39658967036375,0.164979635584137,0.217169693741564
28,8,10,41,2.496,-9.995,104.26,101189,289.29,330.2,896.7,533.5,-88.4,83.8,-457.2,0,1.21854713052767,243.226989671087,19.9801946346008,223798.964585348,49.21,49.21,0.59,0.58,0,19.603,19.399,45.032,44.352,101189,1.47289565696783e-05,1.9981249644582,1.9981249644582,2.61384092083115,8.52080265536963,29.3389505135655,-1.04604464183316,-1.91365338100161,2.84055942206856,0.0494843840843911,0.161313057709547,0.555435445315687,-0.0141798099486113,-0.219594750251745,0.0385056154793571,0.557063511049193,0.0252484225010611,-0.161313057709547,0.555435445315687,0.0767312098266065,-0.150276173408696,0.0295801656222445,-0.233542070790895,-0.233542070790895,0.0397572894092518,1.39658967036375,0.164979635584137,0.217169693741564
29,8,11,37,2.496,7.995,104.54,101188,289.23,131.1,-1319.7,-130.1,578.5,48.1,714.7,0,1.21878787012658,243.880168651762,20.0050287346548,224157.490600776,49.21,49.21,0.64,0.54,0,19.357,19.146,45.333,43.908,101188,1.47236763832782e-05,2.00060850559457,2.00060850559457,1.32389613551781,-12.3656501342378,28.5475251390506,-1.71925758234545,-1.09676766581269,-4.63298453670702,0.0249964427710179,-0.23347546504168,0.53900495608998,-0.0232432266564305,-0.125518746308927,-0.0626348900759313,0.539582168972624,0.0014992556700909,0.23347546504168,0.53900495608998,0.0572268106497112,0.227729460260405,-0.0862367686170447,-0.132564067901116,-0.132564067901116,-0.0663310463973233,1.39658967036375,0.164979635584137,0.217169693741564
30,8,12,3,2.496,10,104.35,101189,289.23,275.9,-946,-97.8,526.8,108.5,479.3,0,1.21879991491322,243.436939266442,19.9867430735795,223954.811955871,49.21,49.21,0.61,0.57,0,19.246,19.051,45.458,44.008,101189,1.47235308765889e-05,1.99877984293366,1.99877984293366,2.56539661210325,-9.39727063688452,28.9086716433758,0.0346801363503658,-1.64569585920412,-3.11054228130915,0.0485253659171816,-0.177752630578143,0.546817541995725,0.00046970617845903,-0.188683332688573,-0.0421290422023828,0.548412018944848,0.0246656207803266,0.177752630578143,0.546817541995725,0.0786545769483923,0.16662582734953,-0.0477486096008627,-0.202360351110633,-0.202360351110633,-0.0441685076625496,1.39658967036375,0.164979635584137,0.217169693741564
