AoA [deg],AoS [deg],AoA_round,AoS_round,CD,CYaw,CL,CMroll,CMpitch,CMyaw
-3.5,-8.0,-3.5,-8,0.01495964285714286,-0.052560256410256405,0.01854814024390244,0.015577142857142859,-0.003850000000000001,0.021795
-3.0,-8.0,-3.0,-8,0.015100000000000004,-0.053649999999999996,0.018150000000000003,0.0158,-0.00465,0.0219
-2.5,-8.0,-2.5,-8,0.015300000000000003,-0.05476677061677061,0.017583194444444446,0.015974107142857144,-0.005717027027027028,0.022061249999999998
-2.0,-8.0,-2.0,-8,0.015500000000000002,-0.05585,0.017050000000000006,0.0161,-0.006750000000000001,0.022199999999999998
-1.5,-8.0,-1.5,-8,0.015662857142857145,-0.05668234797297297,0.016680555555555556,0.016152083333333334,-0.007554999999999999,0.02226875
-1.0,-8.0,-1.0,-8,0.0158,-0.05735,0.01635,0.016200000000000003,-0.00815,0.0223
-0.5,-8.0,-0.5,-8,0.015905000000000002,-0.057940624999999996,0.0160385,0.016316666666666667,-0.00848,0.0223
0.0,-8.0,0.0,-8,0.016,-0.058249999999999996,0.01565,0.0164,-0.008749999999999999,0.0223
0.5,-8.0,0.5,-8,0.016108333333333336,-0.0581,0.014820875,0.016300000000000002,-0.0090875,0.022262499999999998
1.0,-8.0,1.0,-8,0.0162,-0.057949999999999995,0.013850000000000001,0.016200000000000003,-0.009349999999999999,0.022199999999999998
1.5,-8.0,1.5,-8,0.016266666666666665,-0.058119642857142856,0.013167013888888891,0.016283333333333334,-0.009487500000000001,0.022137499999999997
2.0,-8.0,2.0,-8,0.016300000000000002,-0.058449999999999995,0.01245,0.0164,-0.009550000000000001,0.022099999999999998
2.5,-8.0,2.5,-8,0.01625,-0.05898035714285714,0.011404715762273903,0.016466666666666668,-0.009287499999999999,0.02215
3.0,-8.0,3.0,-8,0.0162,-0.05934999999999999,0.010250000000000002,0.0165,-0.00885,0.022199999999999998
3.5,-8.0,3.5,-8,0.0162,-0.0588,0.009226707848837213,0.01635,-0.008519444444444446,0.022099999999999998
4.0,-8.0,4.0,-8,0.0162,-0.058249999999999996,0.008150000000000001,0.016200000000000003,-0.00815,0.022
4.5,-8.0,4.5,-8,0.0161375,-0.058571428571428566,0.006735175304878053,0.01622857142857143,-0.0076168055555555555,0.022033333333333332
5.0,-8.0,5.0,-8,0.016,-0.05925,0.00545,0.016300000000000002,-0.007049999999999999,0.022099999999999998
5.5,-8.0,5.5,-8,0.0157625,-0.06063227513227513,0.004519512195121953,0.016546428571428573,-0.0066233653846153855,0.0222
6.0,-8.0,6.0,-8,0.015400000000000002,-0.06175,0.0040500000000000015,0.016900000000000002,-0.006150000000000001,0.0223
6.5,-8.0,6.5,-8,0.014871428571428572,-0.061853439153439146,0.0046928571428571444,0.017225,-0.005382614345114346,0.02235
7.0,-8.0,7.0,-8,0.014200000000000003,-0.06194999999999999,0.005550000000000003,0.0175,-0.004450000000000001,0.0224
7.5,-8.0,7.5,-8,0.013228571428571432,-0.06244937888198758,0.005957142857142859,0.0177,-0.0032202702702702705,0.0225
8.0,-8.0,8.0,-8,0.012600000000000002,-0.06315,0.006150000000000003,0.0178,-0.002450000000000001,0.0226
8.5,-8.0,8.5,-8,0.013809183673469389,-0.06384347826086956,-0.0014871987951807202,0.0178,-0.0026970588235294118,0.022666666666666665
9.0,-8.0,9.0,-8,0.015600000000000001,-0.06425,-0.009549999999999998,0.0178,-0.003250000000000001,0.022699999999999998
9.5,-8.0,9.5,-8,0.016840816326530617,-0.06382249999999999,-0.010212801204819275,0.01807857142857143,-0.0047029411764705886,0.0224375
10.0,-8.0,10.0,-8,0.0175,-0.06334999999999999,-0.01045,0.0184,-0.005849999999999999,0.022099999999999998
