AoA [deg],AoS [deg],AoA_round,AoS_round,CD,CYaw,CL,CMroll,CMpitch,CMyaw
-0.5,-6.0,-0.5,-6,0.011505000000000003,-0.045040625,0.016438499999999998,0.012816666666666667,-0.006879999999999999,0.0193
0.0,-6.0,0.0,-6,0.011600000000000001,-0.04535,0.01605,0.0129,-0.00715,0.0193
0.5,-6.0,0.5,-6,0.011708333333333336,-0.045200000000000004,0.015220874999999998,0.0128,-0.007487499999999999,0.0192625
1.0,-6.0,1.0,-6,0.0118,-0.04505,0.014249999999999995,0.0127,-0.007750000000000002,0.0192
1.5,-6.0,1.5,-6,0.011866666666666666,-0.04521964285714286,0.013567013888888889,0.012783333333333334,-0.0078875,0.019137499999999998
2.0,-6.0,2.0,-6,0.011900000000000003,-0.04555,0.012849999999999997,0.0129,-0.00795,0.0191
2.5,-6.0,2.5,-6,0.011850000000000001,-0.046080357142857145,0.0118047157622739,0.012966666666666666,-0.0076875,0.01915
3.0,-6.0,3.0,-6,0.0118,-0.04645,0.01065,0.013,-0.007250000000000001,0.0192
3.5,-6.0,3.5,-6,0.0118,-0.0459,0.00962670784883721,0.01285,-0.006919444444444445,0.0191
4.0,-6.0,4.0,-6,0.0118,-0.04535,0.008549999999999999,0.0127,-0.00655,0.019
4.5,-6.0,4.5,-6,0.0117375,-0.04567142857142857,0.0071351753048780504,0.012728571428571428,-0.006016805555555555,0.019033333333333333
5.0,-6.0,5.0,-6,0.011600000000000001,-0.04635,0.0058499999999999976,0.0128,-0.00545,0.0191
