AoA,AoS,V,dE,dR,CL,CD,CYaw,CMroll,CMpitch,CMyaw,CD_modeloff,CY_modeloff,CL_modeloff,CMroll_modeloff,CMpitch_modeloff,CMyaw_modeloff,modeloff_correction_found,CD_uncorrected,CL_uncorrected,CMroll_uncorrected,CMpitch_uncorrected,CMyaw_uncorrected,V_round,AoA_round,AoS_round,CL2,fit_used,CD0_fit,k_fit,R2_fit,CD_fit_pred,CDi_fit,esb,CL2_fit,CDsep_fit,ewb,e_total_blockage,V_blockage_corr,CL_blockage_corr,CD_blockage_corr,CYaw_blockage_corr,CMroll_blockage_corr,CMpitch_blockage_corr,CMyaw_blockage_corr
0.005,-10.0,20.00339332947076,-15,0,0.1087360026276632,0.0722314262841869,-0.130204486510046,0.027440047480413704,0.3589539160598552,0.0265649496965694,0.0278999999999999,-0.01035,0.0172499999999999,0.006,-0.0400499999999999,0.0076,True,0.1001314262841868,0.1259860026276631,0.0334400474804137,0.3189039160598553,0.0341649496965694,20.0,0.0,-10.0,0.011823518267443179,True,0.06478139825115778,0.06413677055534739,0.7318048523795788,0.06553972052943374,0.0007583222782759616,0.007229438,0.011823518267443179,0.006691705754753157,0.0025770183755813286,0.009806456375581328,19.809135902405856,0.10663433799988867,0.07083532720047313,-0.12768787603087717,0.02690968241474623,0.3520160046951402,0.026051498642946744
2.5,-10.0,19.998761464566197,-15,0,0.3875512622467824,0.0716620240074832,-0.129722223054474,0.027246597019864104,0.2668011341950631,0.0281604621319008,0.0281499999999999,-0.0110803571428571,0.0130047157622739,0.0060666666666666,-0.0405875,0.00745,True,0.0998120240074831,0.4005559780090563,0.0333132636865307,0.2262136341950631,0.0356104621319008,20.0,2.5,-10.0,0.1501959808690743,True,0.06478139825115778,0.06413677055534739,0.7318048523795788,0.07441448341449294,0.009633085163335164,0.007229438,0.1501959808690743,0.0,0.0016993381280376173,0.008928776128037618,19.821777253014204,0.38072214433140067,0.07039925322158808,-0.12743636194709787,0.026766479311659982,0.26209977831555253,0.027664241024696837
5.0,-10.0,19.99194546362673,-15,0,0.655650529334172,0.0781353826174694,-0.1280442283439037,0.0277160989756125,0.18054714191048488,0.0291974996974356,0.0278999999999999,-0.0113499999999999,0.00705,0.0059,-0.0383499999999999,0.0074,True,0.1060353826174693,0.662700529334172,0.0336160989756125,0.142197141910485,0.0365974996974356,20.0,5.0,-10.0,0.42987761661617996,True,0.06478139825115778,0.06413677055534739,0.7318048523795788,0.09235236031494931,0.027570962063791525,0.007229438,0.42987761661617996,0.0,0.0016993381280376173,0.008928776128037618,19.815021572037768,0.6440971808812535,0.07675854349129882,-0.1257879355152462,0.02722770808001448,0.1773656847937055,0.02868300474491719
6.0,-10.0,19.99340681605485,-15,0,0.7489673258954881,0.0829181271438319,-0.1213977444505693,0.0261421674388748,0.15863085303960078,0.026565174610005602,0.0272999999999999,-0.01385,0.00565,0.0065,-0.03745,0.0076,True,0.1102181271438318,0.7546173258954881,0.0326421674388748,0.1211808530396008,0.0341651746100056,20.0,6.0,-10.0,0.5609520552590382,True,0.06478139825115778,0.06413677055534739,0.7318048523795788,0.10075905151185727,0.03597765326069949,0.007229438,0.5609520552590382,0.0,0.0016993381280376173,0.008928776128037618,19.816469991849647,0.7357696236001684,0.08145701032458835,-0.11925857063725735,0.025681511104100573,0.15583558721039237,0.026097064381689763
7.0,-10.0,19.993831288430016,-15,0,0.8395936616490747,0.0879439762102628,-0.1189928557589402,0.024893538606869096,0.1244705332943144,0.0265847930189134,0.0260999999999999,-0.01405,0.00715,0.0071,-0.03575,0.0077,True,0.1140439762102627,0.8467436616490747,0.0319935386068691,0.0887205332943144,0.0342847930189134,20.0,7.0,-10.0,0.7049175166813009,True,0.06478139825115778,0.06413677055534739,0.7318048523795788,0.10999253127899164,0.04521113302783386,0.007229438,0.7049175166813009,0.0,0.0016993381280376173,0.008928776128037618,19.816890707746754,0.8247990146566528,0.08639429790446754,-0.1168960589678402,0.024454884609222807,0.12227721325729683,0.026116337090710103
8.0,-10.0,19.99277821480787,-15,0,0.9258922613257742,0.095854271103214,-0.1161146360907025,0.024082751791245503,0.0753455860729763,0.025859851931935,0.0244999999999999,-0.01525,0.00775,0.0074,-0.0337499999999999,0.0079,True,0.1203542711032139,0.9336422613257742,0.0314827517912455,0.0415955860729764,0.033759851931935,20.0,8.0,-10.0,0.8572764795829557,True,0.06478139825115778,0.06413677055534739,0.7318048523795788,0.11976434312466576,0.05498294487350798,0.007229438,0.8572764795829557,0.0,0.0016993381280376173,0.008928776128037618,19.81584695357197,0.9095769295348877,0.0941652039169485,-0.1140685569811469,0.023658384829425214,0.07401790650689027,0.025404170334889804
9.0,-10.0,19.993557475775788,-15,0,1.0152495870518194,0.1014605010276065,-0.1121322526628924,0.0233191098668582,0.0310294235954341,0.0252783588109742,0.0274999999999999,-0.01635,-0.0079499999999999,0.0074,-0.03455,0.008,True,0.1289605010276064,1.0072995870518195,0.0307191098668582,-0.0035205764045659,0.0332783588109742,20.0,9.0,-10.0,1.03073172400889,True,0.06478139825115778,0.06413677055534739,0.7318048523795788,0.1308892023380336,0.06610780408687583,0.007229438,1.03073172400889,0.0,0.0016993381280376173,0.008928776128037618,19.816619318268422,0.9973596720420612,0.09967264534819441,-0.11015634792421902,0.022908199191353524,0.03048264794735322,0.02483292381993153
10.0,-10.0,19.993283386489303,-15,0,1.0590282623551655,0.1166409158515869,-0.102928933257929,0.0193064956204276,-0.053046192167571,0.0239021652066962,0.0293999999999999,-0.0154499999999999,-0.0088499999999999,0.008,-0.0371499999999999,0.0074,True,0.1460409158515868,1.0501782623551656,0.0273064956204276,-0.0901961921675709,0.0313021652066962,20.0,10.0,-10.0,1.1215408604670012,True,0.06478139825115778,0.06413677055534739,0.7318048523795788,0.13671340708737673,0.07193200883621893,0.007229438,1.1215408604670012,0.0,0.0016993381280376173,0.008928776128037618,19.816347654605963,1.0403669145958594,0.11458556306163423,-0.101115202041966,0.018966292019076035,-0.05211145465910776,0.023480980397019277
11.0,-10.0,19.99606472825982,-15,0,1.0520364952249945,0.14105409538394548,-0.0942956399210054,0.015299263506224101,-0.1309797252342834,0.0225423470439682,0.0284999999999999,-0.0153499999999999,0.00625,0.0081,-0.0346499999999999,0.0072,True,0.1695540953839454,1.0582864952249946,0.0233992635062241,-0.1656297252342833,0.0297423470439682,20.0,11.0,-10.0,1.10678078728529,True,0.06478139825115778,0.06413677055534739,0.7318048523795788,0.13576674366034117,0.07098534540918339,0.007229438,1.10678078728529,0.005287351723604311,0.002392824114974125,0.009622262114974125,19.805491101564776,1.0320790665588593,0.13837825946050702,-0.09250682506924632,0.015009032167809768,-0.1284950029504674,0.022114712370514173
12.0,-10.0,19.995032660738374,-15,0,1.0917037471659286,0.1530101150571916,-0.0895471429825546,0.011619672896128402,-0.1669038757063138,0.0215083002119058,0.0289999999999999,-0.0154499999999999,0.01795,0.0086,-0.03525,0.007,True,0.1820101150571915,1.1096537471659285,0.0202196728961284,-0.2021538757063138,0.0285083002119058,20.0,12.0,-10.0,1.1918170715761296,True,0.06478139825115778,0.06413677055534739,0.7318048523795788,0.14122069631478204,0.07643929806362426,0.007229438,1.1918170715761296,0.011789418742409546,0.0032456314558464055,0.010475069455846406,19.787754557374633,1.0691868160986933,0.14985420556958876,-0.0877001887598175,0.011380011381449935,-0.1634614005166026,0.02106468085592014
