AoA,AoS,V,V_solid_blockage_corr,dE,dR,CL,CL_solid_blockage_corr,CD,CD_solid_blockage_corr,CYaw,CYaw_solid_blockage_corr,CMroll,CMroll_solid_blockage_corr,CMpitch,CMpitch_solid_blockage_corr,CMyaw,CMyaw_solid_blockage_corr,solid_blockage_e,V_round,AoA_round,AoS_round,ewb_t_fit,q_ratio_wake,V_wake_corr,CL_solid_blockage_corr_wake_corr,CD_solid_blockage_corr_wake_corr,CYaw_solid_blockage_corr_wake_corr,CMroll_solid_blockage_corr_wake_corr,CMpitch_solid_blockage_corr_wake_corr,CMyaw_solid_blockage_corr_wake_corr
10.0,-10.0,19.993283386489303,19.849780628124677,-15,0,1.0501782623551656,1.035156954071658,0.1460409158515868,0.14395200799884494,-0.102928933257929,-0.10145668107638742,0.0273064956204276,0.026915914988967175,-0.0901961921675709,-0.08890606376069536,0.0313021652066962,0.030854432197581553,0.007229438,20.0,10.0,-10.0,0.002362847256669916,1.0047256945133398,19.89662734723928,1.0302881271221578,0.14327493442732261,-0.10097948288814303,0.026789316861259797,-0.08848789699138619,0.030709309382723163
11.0,-10.0,19.99606472825982,19.85254200668013,-15,0,1.0582864952249946,1.043149210187884,0.1695540953839454,0.16712886489804513,-0.0942956399210054,-0.09294687473720938,0.0233992635062241,0.023064570280003856,-0.1656297252342833,-0.1632606272888762,0.0297423470439682,0.02931692501797751,0.007229438,20.0,11.0,-10.0,0.0030490135960442107,1.0060980271920885,19.912980678049298,1.0368266133064603,0.166115885709948,-0.09238351753517907,0.0229247743824472,-0.16227109374671875,0.029139233181679023
12.0,-10.0,19.995032660738374,19.85151734687323,-15,0,1.1096537471659285,1.0937817265560679,0.1820101150571915,0.17940671890341914,-0.0895471429825546,-0.08826629830230795,0.0202196728961284,0.01993045919703385,-0.2021538757063138,-0.1992623516703083,0.0285083002119058,0.028100529472906255,0.007229438,20.0,12.0,-10.0,0.0037227061361691373,1.0074454122723382,19.925281665491394,1.0856982554409516,0.1780808336788782,-0.08761397612920721,0.019783165374766862,-0.197789725619836,0.027892855663042084
13.0,-10.0,19.99433030435617,19.850820031687924,-15,0,1.1444863859160688,1.1281161338880292,0.2004129445501307,0.19754632206135278,-0.0845947755422537,-0.08338476744349096,0.0161909537064094,0.015959365112600054,-0.2588535479377711,-0.25515101563136733,0.0269205891873093,0.026535528399201428,0.007229438,20.0,13.0,-10.0,0.0054414703680535316,1.010882940736107,19.95854538163834,1.1159710866883905,0.19541958232820017,-0.08248706559710232,0.01578755014005749,-0.25240411658898,0.026249852806773777
14.0,-10.0,19.996781194725607,19.853253330673212,-15,0,1.1806188460702598,1.1637317705252295,0.2192108150546887,0.21607531573038272,-0.0813318190225241,-0.08016848288180457,0.0115673022219944,0.011401848394855177,-0.3018823994870993,-0.2975644005809982,0.0257796548227566,0.025410913480056748,0.007229438,20.0,14.0,-10.0,0.0071650955074818515,1.0143301910149636,19.994997786959065,1.1472908731630782,0.213022660317517,-0.0790358835731647,0.011240766069918721,-0.2933604887410952,0.025051914756308268
0.002,-10.0,19.995018438619876,19.851503226834676,-10,-20,0.1670985203175844,0.16470841334490788,0.1176808292863617,0.11599757218693847,-0.1902586010312662,-0.18753722200246187,0.0451672976551738,0.04452124362155692,0.1857033993448248,0.18304717600556228,0.061049672859558,0.06017644400927299,0.007229438,20.0,0.0,-10.0,0.0038188581006223426,1.0076377162012446,19.92716909695462,0.16345995261655374,0.11511833104485693,-0.18611572293013204,0.04418378044581369,0.181659710690111,0.059720317175240185
0.005,-10.0,20.00891849149148,19.8653035114046,-10,-20,0.1665465654517229,0.16416435340936048,0.1177352286214507,0.1160511934168123,-0.1902715007983886,-0.18754993725673944,0.0451834116380795,0.04453712711682678,0.1860197042148652,0.18335895658374216,0.0611637440603441,0.060288883583567945,0.007229438,20.0,0.0,-10.0,0.003827196592885907,1.0076543931857718,19.94118699962248,0.16291732018390062,0.1151696397113976,-0.18612526132475524,0.04419881203119599,0.18196611638246288,0.05983091424130084
2.492,-10.0,19.991919209860885,19.84842624293998,-10,-20,0.4414440521235256,0.4351298220212978,0.1197036273430976,0.11799143699082132,-0.1906004054602062,-0.18787413740457296,0.0455926674838313,0.044940529139045726,0.0910509530351301,0.08974859848821669,0.0636243290903521,0.06271427343993881,0.007229438,20.0,2.5,-10.0,0.0028967902893265334,1.005793580578653,19.90583993372555,0.4326233835882696,0.11731178173054008,-0.1867919432300266,0.04468166232796052,0.0892316278620336,0.06235302615856629
5.0,-10.0,19.983005958181973,19.839576966556027,-10,-20,0.7034693197868341,0.6934071904329,0.1270710353445505,0.12525346468608503,-0.1880326551602781,-0.18534311512524185,0.0453348160524338,0.04468636590610101,0.0089536082825216,0.008825539634480932,0.0648537017859119,0.06392606170539061,0.007229438,20.0,5.0,-10.0,0.00279934164869645,1.0055986832973929,19.89503720292413,0.689546637192477,0.12455611444853387,-0.18431121500427522,0.04443757400275513,0.008776403331736356,0.0635701525540734
7.0,-10.0,19.98800850464144,19.844543606996364,-10,-20,0.8864849720778255,0.8738050637883372,0.1351314709046347,0.13319860716518714,-0.1787583091972506,-0.17620142550717252,0.0435113315701976,0.04288896377915603,-0.0405565754159009,-0.03997647121446815,0.0626353490349165,0.061739439339367694,0.007229438,20.0,7.0,-10.0,0.00279934164869645,1.0055986832973929,19.900017727282115,0.8689401431226025,0.13245702224710984,-0.17522042185795425,0.04265017893472337,-0.03975390170896398,0.06139570423553255
