AoA,AoS,dR,dE,V,AoA_round,AoS_round,V_round,J,J_round,AoA_tail_corr,dPb,pBar,temp,rho,q,Re,J_M1,J_M2,CT,CL_uncorrected,CL_solid_blockage_corr_wake_corr_sc_corr,CD_uncorrected,CD_solid_blockage_corr_wake_corr_dw_corr,CYaw_solid_blockage_corr_wake_corr,CMroll_uncorrected,CMroll_solid_blockage_corr_wake_corr,CMpitch_uncorrected,CMpitch_solid_blockage_corr_wake_corr_sc_corr_tail_corr,CMyaw_uncorrected,CMyaw_solid_blockage_corr_wake_corr,CMpitch25c_uncorrected
2.496,0.0,-10.0,0.0,39.98872997496133,2.5,0.0,40.0,1.9993389310082328,2.0,3.2986712884687583,413.52,101160.0,290.76,1.2120390414597149,969.0849217266068,443774.89473037096,1.9993389310082328,1.9993389310082328,0.0070361926050199,0.518101059019845,0.49587221179636043,0.0296274160721898,0.024037674808813688,-0.0324238835944015,0.0013201808001508,0.0017250694944407313,-0.1097207025113386,-0.10213624725926532,0.0169071033387255,0.013337186713258967,-0.1097207025113386
5.0,0.0,-10.0,0.0,39.97816513643388,5.0,0.0,40.0,1.5991460510733362,1.6,6.1612343039588,413.63,101164.0,290.54,1.2130047723183783,969.3446752632036,444271.7837110666,1.5991460510733362,1.5990160814658043,-0.0902519138426588,0.7985301204274833,0.7770620898513982,-0.0207343284701183,-0.02218961647171231,-0.03672315422307923,0.0002291776632762,0.0008157271533063417,-0.2311926229598995,-0.224272741006561,0.0162796413717731,0.012769092048740906,-0.2311926229598995
5.0,0.0,-10.0,0.0,40.01462427267264,5.0,0.0,40.0,2.4006139649715625,2.4,6.1612343039588,414.28,101164.0,290.61,1.2127125926478155,970.879605384417,444486.8103838272,2.4006139649715625,2.4006139649715625,0.0073777110267096,0.7784545046949634,0.7573121308285568,0.0755118369157709,0.07249529121945253,-0.03820861949115196,0.0040242196426752,0.004549207838617595,-0.1979526635736599,-0.19157198380210202,0.0170476067645992,0.013524599886774829,-0.1979526635736599
7.0,0.0,-10.0,0.0,39.998608010003394,7.0,0.0,40.0,1.5999637759596514,1.6,8.330557799635956,414.06,101163.0,290.53,1.213034532873517,970.3600861966114,444521.7309905815,1.5999637759596514,1.600093833167907,-0.1261747642352794,0.994892925684073,0.9698822834170443,-0.0049648236664727,-0.0030647558943121683,-0.041749370742911025,0.001599601050916,0.0009833860170376115,-0.3323453040258657,-0.3265472623352811,0.0169416669194494,0.013125244997028648,-0.3323453040258657
7.0,0.0,-10.0,0.0,39.99314775350808,7.0,0.0,40.0,2.3996180445659068,2.4,8.330557799635956,413.96,101166.0,290.53,1.2130705055473072,970.1239425920228,444474.2293538968,2.3996180445659068,2.3993255152419315,-0.029430421622161,0.9681623874195604,0.9435853547242198,0.0892239546702947,0.08959613866292623,-0.037454765195740855,0.003580337068645,0.0029319915146934408,-0.2876235097998465,-0.28255092293727824,0.0164314202869259,0.01262327533302686,-0.2876235097998465
2.496,4.0,-10.0,0.0,20.02153057898999,2.5,4.0,20.0,2.0022587771624334,2.0,3.3112881022593736,104.27,101161.0,290.38,1.2136371492818565,243.25031736688445,222707.5819986702,2.0022587771624334,2.0022587771624334,0.0246528836308535,0.5087665428471353,0.49004064519892837,0.0513661141395108,0.04607630569696296,0.06183250114126439,-0.0346430076508139,-0.028029844590810277,-0.1134290433458905,-0.10857020978235599,-0.0138680835080361,-0.006605015356589949,-0.1134290433458905
2.496,3.995,-10.0,0.0,39.98902232503535,2.5,4.0,40.0,1.9993535477986348,2.0,3.304644092763473,413.52,101162.0,290.77,1.212021319675703,969.0849217266068,443759.81931502215,1.9993535477986348,1.9991504440249863,0.0076093444946642,0.5164418066530524,0.4978933808878483,0.0346904270152093,0.029645828711510443,0.06321142527616833,-0.0331397980669493,-0.026563448418851898,-0.1097301421126703,-0.10499064366568589,-0.0146797276901318,-0.007406209404959612,-0.1097301421126703
2.496,8.0,-10.0,0.0,19.986195193269104,2.5,8.0,20.0,1.9987250520096569,2.0,3.3352247175830665,103.89,101163.0,290.42,1.2134939840084806,242.363871432735,222264.5655347002,1.9987250520096569,1.9987250520096569,0.0086372134433541,0.5357589741091229,0.5160011707243217,0.0570187361689597,0.05629289962948516,0.17270615793535762,-0.074601869361029,-0.053810140057063895,-0.1373834024153051,-0.15682212419226535,-0.0442459170275428,-0.02328126158763587,-0.1373834024153051
2.496,8.0,-10.0,0.0,40.002020851990096,2.5,8.0,40.0,2.0004099058889744,2.0,3.3279943930562697,413.7,101158.0,290.82,1.2117650239582876,969.5099735513668,443751.0461959339,2.0004099058889744,2.000003442431514,-0.0068268623980856,0.5413468220193964,0.5218097297531842,0.0420494878946521,0.04155234922861258,0.17570068244841985,-0.0737756000102141,-0.05302510460306772,-0.1262762395159128,-0.14598461093093842,-0.0452584675972208,-0.024288357898865777,-0.1262762395159128
2.496,9.995,-10.0,0.0,19.990101533520384,2.5,10.0,20.0,1.9991157066613503,2.0,3.342379612275655,103.97,101163.0,290.31,1.2139537833203915,242.55049051881485,222457.5841877914,1.9991157066613503,1.9991157066613503,0.0312839869432064,0.5434460986870463,0.523215468871686,0.0764445016296992,0.07202106688892031,0.11469190366991,-0.0369438075250314,-0.01767740725990717,-0.203643224338319,-0.2175871322383268,-0.0230528158463358,-0.002849134196580179,-0.203643224338319
2.496,10.0,-10.0,0.0,39.98594394612135,2.5,10.0,40.0,1.9989965482252148,2.0,3.337566613423354,413.36,101159.0,290.83,1.211735336730007,968.7071003996972,443550.0120281531,1.9989965482252148,1.999199636363813,-0.0155427898065926,0.5481492629840953,0.528574926731564,0.0488159721799614,0.04492394154094889,0.2249079331129725,-0.08838738256781,-0.06826086105404493,-0.1304018332024064,-0.14589493114677102,-0.05683401647321,-0.03605380217542556,-0.1304018332024064
2.496,0.0,-5.0,0.0,39.99601266937408,2.5,0.0,40.0,1.9997030479599631,2.0,3.2986712884687583,413.42,101102.0,290.77,1.2113024600329465,968.8487831196423,443574.14790770254,1.9997030479599631,1.9997030479599631,0.0057588300055021,0.5148441588396436,0.4927469348808325,0.0282068689168418,0.022643334540897862,-0.014346507917749881,-0.0021848640721014,-0.0017233931633885082,-0.102376434546544,-0.09492610067122524,0.0090164426230779,0.005575413700255155,-0.102376434546544
2.496,4.0,-5.0,0.0,39.98316648035563,2.5,4.0,40.0,1.9988576958203303,2.0,3.304644092763473,413.08,101104.0,290.83,1.211076518003842,968.0459187785996,443278.0618370876,1.9988576958203303,1.9990607698522125,0.0057253788304749,0.5159141425630291,0.49737476269521647,0.034055160147471,0.029021003286663224,0.08110818685709495,-0.0368438421962951,-0.030206754728135173,-0.1085052266939827,-0.10378590228556805,-0.0224349991728489,-0.015034274524537044,-0.1085052266939827
2.496,8.0,-5.0,0.0,39.99220306840241,2.5,8.0,40.0,1.999309457277746,2.0,3.3279943930562697,413.6,101103.0,290.59,1.21206476484882,969.273833278528,444024.1348092035,1.999309457277746,1.999512577206353,-0.0091729920296329,0.5410123790077764,0.5214198171484332,0.0422978913878267,0.04179199283238008,0.19410512318797582,-0.0774293320687783,-0.05661009015640476,-0.1232650653799535,-0.14300802035521312,-0.053268946086422,-0.032158874373941965,-0.1232650653799535
2.496,9.995,-5.0,0.0,39.978614543068126,2.5,10.0,40.0,1.9988331840940223,2.0,3.337566613423354,413.18,101103.0,290.69,1.2116478035619338,968.2820542389112,443602.2211441562,1.9988331840940223,1.9988331840940223,-0.0176559023633918,0.5486143499357742,0.5286967707532592,0.0498047389421536,0.045868661717583414,0.24224666413070664,-0.0914502137491541,-0.07122602036127083,-0.1310162840177673,-0.14640685748672277,-0.064697144956313,-0.04375416917414189,-0.1310162840177673
2.496,-9.995,0.0,0.0,19.98019463460076,2.5,-10.0,20.0,1.9981249644581995,2.0,3.336830848063567,104.26,101189.0,289.29,1.2185471305276716,243.22698967108667,223798.9645853479,1.9981249644581995,1.9981249644581995,0.025248422501061,0.5554354453156867,0.5318372746233471,0.0767312098266064,0.050837351051721776,-0.1477158741110671,0.0295801656222444,0.023112892568715473,-0.2335420707908949,-0.19066794938048914,0.0397572894092517,0.031756860631977545,-0.2335420707908949
