AoA,AoS,V,dE,dR,CL,CD,CYaw,CMroll,CMpitch,CMyaw,CD_modeloff,CYaw_modeloff,CL_modeloff,CMroll_modeloff,CMpitch_modeloff,CMyaw_modeloff,modeloff_correction_found,CD_uncorrected,CYaw_uncorrected,CL_uncorrected,CMroll_uncorrected,CMpitch_uncorrected,CMyaw_uncorrected
5.0,0.0,39.98490656520653,-15,0,0.6285442110483503,0.060817541423799,0.0102193945390573,-0.0029786960784711,0.24099751164689698,-0.006340981676269199,0.0078,-0.00175,0.0068499999999999,-0.0006,-0.00465,0.0033,True,0.068617541423799,0.0084693945390573,0.6353942110483503,-0.0035786960784711,0.236347511646897,-0.0030409816762692
6.0,0.0,39.99325790165411,-15,0,0.7248317765748338,0.06565942031830731,0.0133049116320669,-0.0036567877632191,0.2045619016987198,-0.0065359534393248,0.0072,-0.00425,0.00545,0.0,-0.00375,0.0035,True,0.0728594203183073,0.0090549116320669,0.7302817765748337,-0.0036567877632191,0.2008119016987198,-0.0030359534393248
7.0,0.0,39.98896454430021,-15,0,0.8124804433667314,0.07269915675426229,0.013247433239486298,-0.0039419480811986,0.15612698323741991,-0.0067077660001283995,0.006,-0.00445,0.00695,0.0006,-0.0020499999999999,0.0036,True,0.0786991567542623,0.0087974332394863,0.8194304433667314,-0.0033419480811986,0.15407698323742,-0.0031077660001284
8.0,0.0,39.98896454430021,-15,0,0.8892454620546656,0.08240682062290719,0.0141153257795366,-0.0041787721665674,0.0927232192562148,-0.0069485140810576,0.0043999999999999,-0.00565,0.00755,0.0009,-4.99999999999997e-05,0.0038,True,0.0868068206229071,0.0084653257795366,0.8967954620546655,-0.0032787721665674,0.0926732192562148,-0.0031485140810576
9.0,0.0,39.98991438638252,-15,0,0.9475379224482724,0.09222021357068409,0.0178756507009545,-0.006208915301050499,0.035738188156471,-0.0085848989915648,0.0074,-0.00675,-0.00815,0.0009,-0.00085,0.0039,True,0.0996202135706841,0.0111256507009545,0.9393879224482724,-0.0053089153010505,0.034888188156471,-0.0046848989915648
10.0,0.0,39.99321922353463,-15,0,0.9946147040438382,0.1022269666410941,0.0153633344281562,-0.006394292280897201,-0.012793452447419801,-0.008055266839600901,0.0093,-0.00585,-0.00905,0.0015,-0.00345,0.0033,True,0.1115269666410941,0.0095133344281562,0.9855647040438382,-0.0048942922808972,-0.0162434524474198,-0.0047552668396009
11.0,0.0,39.98350288764184,-15,0,1.0223341738742304,0.1170799107236017,0.0136036511213863,-0.0055358332443143,-0.0604465320042435,-0.007233023902327799,0.0084,-0.00575,0.00605,0.0016,-0.00095,0.0031,True,0.1254799107236017,0.0078536511213863,1.0283841738742303,-0.0039358332443143,-0.0613965320042435,-0.0041330239023278
12.0,0.0,39.98065248763808,-15,0,1.0667285041174785,0.1334869025626855,0.0132694581294074,-0.005656521295381699,-0.1045420434350007,-0.0066086361576928,0.0089,-0.00585,0.01775,0.0021,-0.0015499999999999,0.0028999999999999,True,0.1423869025626855,0.0074194581294074,1.0844785041174785,-0.0035565212953817,-0.1060920434350006,-0.0037086361576929
13.0,0.0,39.98682810597497,-15,0,1.1175245811291765,0.14922124403637568,0.0111501860771026,-0.004937222708137999,-0.137353035092329,-0.005758732744184701,0.0118999999999999,-0.00565,0.0302499999999999,0.0026,-0.0082499999999999,0.0025999999999999,True,0.1611212440363756,0.0055001860771026,1.1477745811291764,-0.002337222708138,-0.1456030350923289,-0.0031587327441848
14.0,0.0,39.98661108977214,-15,0,1.1651332653022881,0.16967806346981712,0.0096098304536636,-0.0041647712524027995,-0.1841867931659062,-0.005546003608184399,0.0109,-0.0059499999999999,0.03425,0.0031,-0.0010499999999999,0.0026999999999999,True,0.1805780634698171,0.0036598304536637,1.1993832653022882,-0.0010647712524028,-0.1852367931659061,-0.0028460036081845
0.005,0.0,40.00584800063302,-15,0,0.0821061066954092,0.053477337636142395,0.0104240591590062,-0.0043691879430708,0.4120139489268555,-0.0065726538094372,0.0078,-0.00075,0.01705,-0.0005,-0.00635,0.0035,True,0.0612773376361424,0.0096740591590062,0.0991561066954092,-0.0048691879430708,0.4056639489268555,-0.0030726538094372
0.002,0.0,20.00626775199236,-15,0,0.0694208649103766,0.060480369892680005,0.0117616423062282,-0.005463345042302699,0.4046521038273809,-0.0064143562386243,0.0078,-0.00075,0.01705,-0.0005,-0.00635,0.0035,True,0.06828036989268,0.0110116423062282,0.0864708649103766,-0.0059633450423027,0.3983021038273809,-0.0029143562386243
-2.501,0.0,19.99843701872486,-15,0,-0.2155373302856804,0.0654483925117113,0.008445470474605001,-0.005810182225656601,0.4928570432178646,-0.0057534503165309996,0.0071,0.0027332293832293,0.0189831944444444,-0.0009258928571428,-0.003317027027027,0.00326125,True,0.0725483925117113,0.0111786998578343,-0.196554135841236,-0.0067360750827994,0.4895400161908376,-0.002492200316531
-5.002,0.0,19.99058675096841,-15,0,-0.4982274815364506,0.0780368092712599,0.005629650188454199,-0.0054284925455737,0.5801476965732991,-0.00440473499537,0.0059,0.00385,0.02365,-0.0015999999999999,0.00145,0.0026999999999999,True,0.0839368092712599,0.0094796501884542,-0.4745774815364506,-0.0070284925455736,0.5815976965732991,-0.0017047349953701
-0.005,0.0,19.99658060385313,-15,0,0.068218211079312,0.059906237538124296,0.0116108251543989,-0.005153889228939701,0.404599090475018,-0.0062514011907046,0.0078,-0.00075,0.01705,-0.0005,-0.00635,0.0035,True,0.0677062375381243,0.0108608251543989,0.085268211079312,-0.0056538892289397,0.398249090475018,-0.0027514011907046
2.5,0.0,19.99587735320304,-15,0,0.35032050316999713,0.0610604093005567,0.012441210608722199,-0.0051023988754086,0.3245949062433385,-0.0063658553421492,0.00805,-0.0014803571428571,0.0128047157622739,-0.0004333333333333,-0.0068874999999999,0.00335,True,0.0691104093005567,0.0109608534658651,0.363125218932271,-0.0055357322087419,0.3177074062433386,-0.0030158553421492
5.0,0.0,19.994138657584028,-15,0,0.619245062975884,0.0682029272945022,0.0118122169815286,-0.0043123986874747,0.2433097703420962,-0.0063136159912791,0.0078,-0.00175,0.0068499999999999,-0.0006,-0.00465,0.0033,True,0.0760029272945022,0.0100622169815286,0.6260950629758839,-0.0049123986874747,0.2386597703420962,-0.0030136159912791
6.0,0.0,19.99460601170157,-15,0,0.7192932843382188,0.0730172647655279,0.0149534404966957,-0.0050595256520044,0.2123414616156789,-0.0065251093081418,0.0072,-0.00425,0.00545,0.0,-0.00375,0.0035,True,0.0802172647655279,0.0107034404966957,0.7247432843382188,-0.0050595256520044,0.2085914616156789,-0.0030251093081418
