AoA,AoS,V,V_solid_blockage_corr,dE,dR,CL,CL_solid_blockage_corr,CD,CD_solid_blockage_corr,CYaw,CYaw_solid_blockage_corr,CMroll,CMroll_solid_blockage_corr,CMpitch,CMpitch_solid_blockage_corr,CMyaw,CMyaw_solid_blockage_corr,CD_modeloff,CY_modeloff,CL_modeloff,CMroll_modeloff,CMpitch_modeloff,CMyaw_modeloff,modeloff_correction_found,CD_uncorrected,CL_uncorrected,CMroll_uncorrected,CMpitch_uncorrected,CMyaw_uncorrected,solid_blockage_e,V_round,AoA_round,AoS_round,CL2,fit_used,CD0_fit,k_fit,R2_fit,CD_fit_pred,CDi_fit
0.005,-10.0,20.00339332947076,19.859818006501474,-15,0,0.1087360026276632,0.107180688567626,0.0722314262841869,0.07119825833464379,-0.130204486510046,-0.1283420962836696,0.027440047480413704,0.02704755657930421,0.3589539160598552,0.3538195901782518,0.0265649496965694,0.026184975826197013,0.0278999999999999,-0.01035,0.0172499999999999,0.006,-0.0400499999999999,0.0076,True,0.1001314262841868,0.1259860026276631,0.0334400474804137,0.3189039160598553,0.0341649496965694,0.007229438,20.0,0.0,-10.0,0.011487700001830435,True,0.06385479236999529,0.06506746826165276,0.7318048523795788,0.06460226792526379,0.0007474755552684902
2.5,-10.0,19.998761464566197,19.85521938703126,-15,0,0.3875512622467824,0.38200789194999496,0.0716620240074832,0.07063700054868256,-0.129722223054474,-0.12786673092178294,0.027246597019864104,0.026856873152799846,0.2668011341950631,0.26298492295665327,0.0281604621319008,0.02775766672253794,0.0281499999999999,-0.0110803571428571,0.0130047157622739,0.0060666666666666,-0.0405875,0.00745,True,0.0998120240074831,0.4005559780090563,0.0333132636865307,0.2262136341950631,0.0356104621319008,0.007229438,20.0,2.5,-10.0,0.14593002951207903,True,0.06385479236999529,0.06506746826165276,0.7318048523795788,0.07335008993369455,0.009495297563699254
5.0,-10.0,19.99194546362673,19.84845230826815,-15,0,0.655650529334172,0.6462723798519246,0.0781353826174694,0.0770177669590433,-0.1280442283439037,-0.12621273754198578,0.0277160989756125,0.02731965954999041,0.18054714191048488,0.17796467150944892,0.0291974996974356,0.028779870938791124,0.0278999999999999,-0.0113499999999999,0.00705,0.0059,-0.0383499999999999,0.0074,True,0.1060353826174693,0.662700529334172,0.0336160989756125,0.142197141910485,0.0365974996974356,0.007229438,20.0,5.0,-10.0,0.4176679889594704,True,0.06385479236999529,0.06506746826165276,0.7318048523795788,0.09103139098552396,0.027176598615528673
6.0,-10.0,19.99340681605485,19.849903171768545,-15,0,0.7489673258954881,0.7382544121932755,0.0829181271438319,0.08173210111875946,-0.1213977444505693,-0.11966132215953376,0.0261421674388748,0.02576824086814408,0.15863085303960078,0.15636186401916552,0.026565174610005602,0.026185197522565994,0.0272999999999999,-0.01385,0.00565,0.0065,-0.03745,0.0076,True,0.1102181271438318,0.7546173258954881,0.0326421674388748,0.1211808530396008,0.0341651746100056,0.007229438,20.0,6.0,-10.0,0.5450195771228387,True,0.06385479236999529,0.06506746826165276,0.7318048523795788,0.099317836406415,0.035463044036419714
7.0,-10.0,19.993831288430016,19.850324597472714,-15,0,0.8395936616490747,0.8275844669469998,0.0879439762102628,0.08668606255342398,-0.1189928557589402,-0.11729083198453694,0.024893538606869096,0.024537471897925243,0.1244705332943144,0.12269015912371081,0.0265847930189134,0.026204535318001966,0.0260999999999999,-0.01405,0.00715,0.0071,-0.03575,0.0077,True,0.1140439762102627,0.8467436616490747,0.0319935386068691,0.0887205332943144,0.0342847930189134,0.007229438,20.0,7.0,-10.0,0.6848960499319499,True,0.06385479236999529,0.06506746826165276,0.7318048523795788,0.10841924436147378,0.04456445199147849
8.0,-10.0,19.99277821480787,19.849279082337414,-15,0,0.9258922613257742,0.9126486877409452,0.095854271103214,0.09448321191436426,-0.1161146360907025,-0.1144537811601937,0.024082751791245503,0.023738282235990938,0.0753455860729763,0.07426787449126297,0.025859851931935,0.025489963483506912,0.0244999999999999,-0.01525,0.00775,0.0074,-0.0337499999999999,0.0079,True,0.1203542711032139,0.9336422613257742,0.0314827517912455,0.0415955860729764,0.033759851931935,0.007229438,20.0,8.0,-10.0,0.8329276272352694,True,0.06385479236999529,0.06506746826165276,0.7318048523795788,0.11805128431937992,0.054196491949384626
9.0,-10.0,19.993557475775788,19.850052750122053,-15,0,1.0152495870518194,1.000727883852966,0.1014605010276065,0.1000092526832379,-0.1121322526628924,-0.11052836007041382,0.0233191098668582,0.02298556312459227,0.0310294235954341,0.03058559176764396,0.0252783588109742,0.024916787795640855,0.0274999999999999,-0.01635,-0.0079499999999999,0.0074,-0.03455,0.008,True,0.1289605010276064,1.0072995870518195,0.0307191098668582,-0.0035205764045659,0.0332783588109742,0.007229438,20.0,9.0,-10.0,1.0014562975208356,True,0.06385479236999529,0.06506746826165276,0.7318048523795788,0.12901701822436457,0.06516222585436926
10.0,-10.0,19.993283386489303,19.849780628124677,-15,0,1.0590282623551655,1.043880367392925,0.1166409158515869,0.11497253323666964,-0.102928933257929,-0.10145668107638742,0.0193064956204276,0.01903034362510992,-0.053046192167571,-0.05228744173978335,0.0239021652066962,0.023560278686013594,0.0293999999999999,-0.0154499999999999,-0.0088499999999999,0.008,-0.0371499999999999,0.0074,True,0.1460409158515868,1.0501782623551656,0.0273064956204276,-0.0901961921675709,0.0313021652066962,0.007229438,20.0,10.0,-10.0,1.0896862214283878,True,0.06385479236999529,0.06506746826165276,0.7318048523795788,0.13475791599794723,0.07090312362795194
11.0,-10.0,19.99606472825982,19.85254200668013,-15,0,1.0520364952249945,1.0369886075598707,0.14105409538394548,0.13903651691430374,-0.0942956399210054,-0.09294687473720938,0.015299263506224101,0.015080429274098386,-0.1309797252342834,-0.12910624631916956,0.0225423470439682,0.022219910790505983,0.0284999999999999,-0.0153499999999999,0.00625,0.0081,-0.0346499999999999,0.0072,True,0.1695540953839454,1.0582864952249946,0.0233992635062241,-0.1656297252342833,0.0297423470439682,0.007229438,20.0,11.0,-10.0,1.0753453722089594,True,0.06385479236999529,0.06506746826165276,0.7318048523795788,0.13382479324651692,0.06997000087652164
12.0,-10.0,19.995032660738374,19.85151734687323,-15,0,1.0917037471659286,1.076088475808413,0.1530101150571916,0.1508215227094367,-0.0895471429825546,-0.08826629830230795,0.011619672896128402,0.0114534699808873,-0.1669038757063138,-0.1645165528483123,0.0215083002119058,0.021200654529531158,0.0289999999999999,-0.0154499999999999,0.01795,0.0086,-0.03525,0.007,True,0.1820101150571915,1.1096537471659285,0.0202196728961284,-0.2021538757063138,0.0285083002119058,0.007229438,20.0,12.0,-10.0,1.1579664077676735,True,0.06385479236999529,0.06506746826165276,0.7318048523795788,0.13920073485547846,0.07534594248548315
