Run_nr,Time,Alpha,Beta,Delta_Pb,P_bar,T,B1,B2,B3,B4,B5,B6,rpm,Rho,Q,V,Re,nrotor1,nrotor2,I1,I2,dptq,Extra1,Extra2,Extra3,Extra4,Extra5,Extra6,Extra7,Extra8,Extra9,Extra10,source_file,file_type,rudder_setting
6,12:51:49,2.5,0.0,413.69,1011.65,17.41,1463.3,1116.6,1019.6,387.3,894.7,-788.7,0.0,1.213,969.5,40.0,444292,82.02,82.02,0.56,1.3,0.0,24.587,25.399,31.31,30.092,0.0,0.0,0.0,0.0,0.0,0.0,raw_rudder_m10_elevator_0.txt,raw,-10
7,12:52:23,5.0,0.0,414.28,1011.64,17.46,1713.7,1084.2,1474.8,845.3,887.8,-748.0,0.0,1.213,970.9,40.0,444512,82.03,82.03,0.92,1.24,0.0,24.354,24.736,31.294,30.089,0.0,0.0,0.0,0.0,0.0,0.0,raw_rudder_m10_elevator_0.txt,raw,-10
8,12:53:08,-4.995,0.0,413.7,1011.61,17.53,1533.2,1283.8,-582.9,-1291.7,1682.5,-929.6,0.0,1.212,969.5,40.0,444062,82.02,82.03,1.03,0.87,0.0,23.786,23.813,31.732,30.434,0.0,0.0,0.0,0.0,0.0,0.0,raw_rudder_m10_elevator_0.txt,raw,-10
9,12:53:59,2.496,0.0,413.54,1011.59,17.62,1865.9,1091.5,919.7,346.8,1221.5,-810.7,0.0,1.212,969.1,40.0,443789,70.31,70.3,-1.01,-1.26,0.0,23.067,22.935,28.808,27.539,0.0,0.0,0.0,0.0,0.0,0.0,raw_rudder_m10_elevator_0.txt,raw,-10
10,12:54:31,2.496,0.0,413.52,1011.6,17.61,666.6,1017.6,1128.5,547.2,255.6,-757.8,0.0,1.212,969.1,40.0,443793,98.43,98.43,7.41,6.7,0.0,22.707,22.598,30.171,28.596,0.0,0.0,0.0,0.0,0.0,0.0,raw_rudder_m10_elevator_0.txt,raw,-10
11,12:55:43,2.496,3.995,413.52,1011.62,17.62,672.2,-1333.6,511.3,1154.4,265.1,596.1,0.0,1.212,969.1,40.0,443788,98.43,98.44,7.72,6.66,0.0,22.373,22.495,30.201,28.654,0.0,0.0,0.0,0.0,0.0,0.0,raw_rudder_m10_elevator_0.txt,raw,-10
12,12:56:44,2.496,8.0,413.7,1011.58,17.67,371.0,-3870.9,-104.7,1968.5,-14.2,1896.0,0.0,1.212,969.5,40.0,443788,98.41,98.43,6.55,6.35,0.0,22.319,22.624,30.385,28.659,0.0,0.0,0.0,0.0,0.0,0.0,raw_rudder_m10_elevator_0.txt,raw,-10
13,12:57:10,2.496,10.0,413.36,1011.59,17.68,187.5,-4911.8,-404.0,2351.7,-173.6,2382.8,0.0,1.212,968.7,40.0,443576,98.44,98.43,7.75,7.42,0.0,22.321,22.69,30.477,28.669,0.0,0.0,0.0,0.0,0.0,0.0,raw_rudder_m10_elevator_0.txt,raw,-10
14,12:58:17,2.496,0.0,103.96,1011.6,17.42,268.1,288.8,271.3,103.3,158.7,-204.0,0.0,1.213,242.5,20.0,222204,49.21,49.21,0.66,0.72,0.0,22.505,22.863,33.762,32.572,0.0,0.0,0.0,0.0,0.0,0.0,raw_rudder_m10_elevator_0.txt,raw,-10
15,12:59:01,2.496,8.0,103.89,1011.63,17.27,170.3,-953.6,-43.8,475.5,76.0,466.9,0.0,1.213,242.4,20.0,222269,49.21,49.21,0.94,0.89,0.0,22.399,22.546,33.945,32.565,0.0,0.0,0.0,0.0,0.0,0.0,raw_rudder_m10_elevator_0.txt,raw,-10
16,12:59:28,2.496,4.0,104.27,1011.61,17.23,251.5,-323.8,109.2,268.3,155.2,140.9,0.0,1.214,243.2,20.0,222718,49.21,49.21,0.53,0.55,0.0,22.222,22.274,33.817,32.539,0.0,0.0,0.0,0.0,0.0,0.0,raw_rudder_m10_elevator_0.txt,raw,-10
17,13:00:17,2.496,9.995,103.97,1011.63,17.16,312.0,-599.3,-14.8,428.2,136.3,244.5,0.0,1.214,242.6,20.0,222472,49.21,49.21,0.64,0.94,0.0,21.864,21.785,34.037,32.643,0.0,0.0,0.0,0.0,0.0,0.0,raw_rudder_m10_elevator_0.txt,raw,-10
1,17:17:07,2.496,4.0,413.81,1011.01,17.35,809.5,-428.2,696.7,860.7,460.6,-25.3,0.0,1.212,969.8,40.0,444344,98.44,98.42,6.9,6.8,0.0,20.503,20.594,28.612,28.743,0.0,0.0,0.0,0.0,0.0,0.0,raw_rudder_m20_elevator_0.txt,raw,-20
2,17:18:04,2.496,8.0,413.45,1011.04,17.48,508.3,-2894.0,101.3,1653.4,181.6,1226.0,0.0,1.212,968.9,40.0,443890,98.42,98.43,7.98,6.06,0.0,20.618,20.945,28.89,28.665,0.0,0.0,0.0,0.0,0.0,0.0,raw_rudder_m20_elevator_0.txt,raw,-20
3,17:18:49,2.496,10.0,413.27,1011.03,17.56,330.1,-3931.4,-197.7,2031.0,31.8,1709.0,0.0,1.212,968.5,40.0,443628,98.43,98.43,7.14,7.02,0.0,20.79,21.22,28.855,28.611,0.0,0.0,0.0,0.0,0.0,0.0,raw_rudder_m20_elevator_0.txt,raw,-20
4,17:20:16,2.496,0.0,413.22,1011.06,17.66,788.1,1844.2,1294.7,283.5,422.4,-1323.6,0.0,1.211,968.4,40.0,443427,98.44,98.43,6.44,7.87,0.0,21.129,21.653,28.525,28.589,0.0,0.0,0.0,0.0,0.0,0.0,raw_rudder_m20_elevator_0.txt,raw,-20
