V_round,AoS_round,dE,dR,fit_used,CD0_fit,k_fit,R2_fit
39.5,-8.0,-10,-20,True,0.07498029504481535,0.054888989829642174,0.859038314852514
39.5,-8.0,-10,-10,True,0.06075773521754501,0.061081812470373725,0.8438060448277636
39.5,-8.0,-10,0,True,0.05565330517930471,0.06067506110241436,0.8552557662334613
39.5,-8.0,-10,10,True,0.056704186719517644,0.05829274196032495,0.8481714903362204
39.5,-8.0,-10,20,True,0.05651154012662151,0.06115173709236033,0.8489016579480169
39.5,-8.0,0,-20,True,0.06530027446672881,0.057717925013646684,0.8775558492274288
39.5,-8.0,0,-10,True,0.05970108256925484,0.05926042786882662,0.8666754757956086
39.5,-8.0,0,0,True,0.05435584390547335,0.059815180941831934,0.8689426234917822
39.5,-8.0,0,10,True,0.05229253336821163,0.06030129365882961,0.8718371436975224
39.5,-8.0,0,20,True,0.055044579598468674,0.05970042132211392,0.8722214520452201
